"","ST","age","education","race","sex","n","weighted_share_of_state","state"
"1",1,1,1,1,1,394676,0.0826144165166874,"al"
"2",1,1,1,1,2,366335,0.0766820183508515,"al"
"3",1,1,1,2,1,208076,0.043554909168853,"al"
"4",1,1,1,2,2,196291,0.0410880480000737,"al"
"5",1,1,1,3,1,49424,0.0103455363942088,"al"
"6",1,1,1,3,2,44605,0.00933681310423446,"al"
"7",1,1,1,4,1,6978,0.0014606497442293,"al"
"8",1,1,1,4,2,7378,0.0015443785917059,"al"
"9",1,1,1,5,1,19660,0.00411527285347494,"al"
"10",1,1,1,5,2,15905,0.00332926829778834,"al"
"11",1,1,2,1,1,99678,0.0208648101469316,"al"
"12",1,1,2,1,2,77179,0.0161552717984915,"al"
"13",1,1,2,2,1,54969,0.0115062275423532,"al"
"14",1,1,2,2,2,49809,0.010426125409905,"al"
"15",1,1,2,3,1,12025,0.00251709847726532,"al"
"16",1,1,2,3,2,7624,0.00159587183290401,"al"
"17",1,1,2,4,1,1060,0.000221881445812992,"al"
"18",1,1,2,4,2,1682,0.000352079803639107,"al"
"19",1,1,2,5,1,3460,0.000724254530672598,"al"
"20",1,1,2,5,2,2358,0.000493581555874563,"al"
"21",1,1,3,1,1,106495,0.0222917590300515,"al"
"22",1,1,3,1,2,112981,0.0236494222918846,"al"
"23",1,1,3,2,1,44400,0.0092939020699027,"al"
"24",1,1,3,2,2,63384,0.0132676731711422,"al"
"25",1,1,3,3,1,5222,0.00109308010380703,"al"
"26",1,1,3,3,2,4220,0.00088333934087814,"al"
"27",1,1,3,4,1,2103,0.000440204415608229,"al"
"28",1,1,3,4,2,1694,0.000354591669063405,"al"
"29",1,1,3,5,1,2976,0.000622942625225911,"al"
"30",1,1,3,5,2,3410,0.000713788424738023,"al"
"31",1,1,4,1,1,19201,0.00401919400099554,"al"
"32",1,1,4,1,2,26859,0.00562218278593506,"al"
"33",1,1,4,2,1,5243,0.00109747586829955,"al"
"34",1,1,4,2,2,9414,0.0019705584253618,"al"
"35",1,1,4,3,1,819,0.00017143481520834,"al"
"36",1,1,4,3,2,763,0.000159712776561616,"al"
"37",1,1,4,4,1,332,6.94949434055788e-05,"al"
"38",1,1,4,4,2,314,6.57271452691317e-05,"al"
"39",1,1,4,5,1,427,8.93805446812715e-05,"al"
"40",1,1,4,5,2,659,0.0001379432762177,"al"
"41",1,1,5,1,1,45301,0.00948250129884375,"al"
"42",1,1,5,1,2,58460,0.0122369710587052,"al"
"43",1,1,5,2,1,9476,0.00198353639672068,"al"
"44",1,1,5,2,2,16812,0.00351912345944154,"al"
"45",1,1,5,3,1,1841,0.000385362020511056,"al"
"46",1,1,5,3,2,1961,0.000410480674754036,"al"
"47",1,1,5,4,1,1835,0.000384106087798907,"al"
"48",1,1,5,4,2,2769,0.00057961294665677,"al"
"49",1,1,5,5,1,934,0.000195506858857863,"al"
"50",1,1,5,5,2,1288,0.000269606888874655,"al"
"51",1,1,6,1,1,13027,0.0027268392401942,"al"
"52",1,1,6,1,2,18560,0.00388501852291428,"al"
"53",1,1,6,2,1,2275,0.000476207820023168,"al"
"54",1,1,6,2,2,5317,0.00111296570508272,"al"
"55",1,1,6,3,1,433,9.06364773934205e-05,"al"
"56",1,1,6,3,2,526,0.00011010343443173,"al"
"57",1,1,6,4,1,1190,0.000249093321242888,"al"
"58",1,1,6,4,2,1836,0.000384315409917598,"al"
"59",1,1,6,5,1,382,7.99610493401539e-05,"al"
"60",1,1,6,5,2,531,0.000111150045025188,"al"
"61",1,2,1,1,1,46206,0.00967193781625956,"al"
"62",1,2,1,1,2,33310,0.00697251977361394,"al"
"63",1,2,1,2,1,18736,0.00392185921580399,"al"
"64",1,2,1,2,2,17781,0.0037219565924536,"al"
"65",1,2,1,3,1,10057,0.00210515254768044,"al"
"66",1,2,1,3,2,5145,0.00107696230066778,"al"
"67",1,2,1,4,1,657,0.000137524631980317,"al"
"68",1,2,1,4,2,658,0.000137733954099009,"al"
"69",1,2,1,5,1,1552,0.000324867928209212,"al"
"70",1,2,1,5,2,1006,0.000210578051403651,"al"
"71",1,2,2,1,1,100420,0.0210201271590007,"al"
"72",1,2,2,1,2,86758,0.0181603683734374,"al"
"73",1,2,2,2,1,45881,0.00960390812768482,"al"
"74",1,2,2,2,2,40396,0.00845577630666193,"al"
"75",1,2,2,3,1,5244,0.00109768519041824,"al"
"76",1,2,2,3,2,3713,0.000777213026701548,"al"
"77",1,2,2,4,1,1225,0.00025641959539709,"al"
"78",1,2,2,4,2,1615,0.000338055221686776,"al"
"79",1,2,2,5,1,2381,0.000498395964604467,"al"
"80",1,2,2,5,2,1711,0.00035815014508116,"al"
"81",1,2,3,1,1,72781,0.0152346731204862,"al"
"82",1,2,3,1,2,77700,0.0162643286223297,"al"
"83",1,2,3,2,1,25844,0.00540972083546319,"al"
"84",1,2,3,2,2,36456,0.00763104715901741,"al"
"85",1,2,3,3,1,2409,0.000504256983927829,"al"
"86",1,2,3,3,2,2255,0.000472021377649338,"al"
"87",1,2,3,4,1,674,0.000141083107998073,"al"
"88",1,2,3,4,2,920,0.000192576349196182,"al"
"89",1,2,3,5,1,1707,0.000357312856606394,"al"
"90",1,2,3,5,2,1915,0.000400851857294227,"al"
"91",1,2,4,1,1,25277,0.0052910351941651,"al"
"92",1,2,4,1,2,35128,0.00735306738539509,"al"
"93",1,2,4,2,1,7641,0.00159943030892177,"al"
"94",1,2,4,2,2,15451,0.0032342360559024,"al"
"95",1,2,4,3,1,759,0.00015887548808685,"al"
"96",1,2,4,3,2,900,0.000188389906822352,"al"
"97",1,2,4,4,1,357,7.47279963728663e-05,"al"
"98",1,2,4,4,2,506,0.0001059169920579,"al"
"99",1,2,4,5,1,402,8.41474917139839e-05,"al"
"100",1,2,4,5,2,1056,0.000221044157338226,"al"
"101",1,2,5,1,1,53453,0.0111888952104169,"al"
"102",1,2,5,1,2,62805,0.0131464756644198,"al"
"103",1,2,5,2,1,9540,0.00199693301231693,"al"
"104",1,2,5,2,2,15852,0.00331817422549769,"al"
"105",1,2,5,3,1,1437,0.000300795884559689,"al"
"106",1,2,5,3,2,1714,0.000358778111437235,"al"
"107",1,2,5,4,1,1251,0.000261861970483069,"al"
"108",1,2,5,4,2,1751,0.000366523029828821,"al"
"109",1,2,5,5,1,807,0.000168922949784042,"al"
"110",1,2,5,5,2,1146,0.000239883148020462,"al"
"111",1,2,6,1,1,28642,0.00599540412356201,"al"
"112",1,2,6,1,2,32348,0.00677115189543272,"al"
"113",1,2,6,2,1,3258,0.000681971462696915,"al"
"114",1,2,6,2,2,8920,0.0018671532987282,"al"
"115",1,2,6,3,1,615,0.000128733102995274,"al"
"116",1,2,6,3,2,744,0.000155735656306478,"al"
"117",1,2,6,4,1,2296,0.000480603584515689,"al"
"118",1,2,6,4,2,1688,0.000353335736351256,"al"
"119",1,2,6,5,1,340,7.11695203551108e-05,"al"
"120",1,2,6,5,2,746,0.000156154300543861,"al"
"121",1,3,1,1,1,46967,0.00983123194858379,"al"
"122",1,3,1,1,2,39989,0.00837058220435449,"al"
"123",1,3,1,2,1,23234,0.00486339010567836,"al"
"124",1,3,1,2,2,21923,0.00458896880807381,"al"
"125",1,3,1,3,1,2594,0.000542981575885757,"al"
"126",1,3,1,3,2,1532,0.000320681485835382,"al"
"127",1,3,1,4,1,374,7.82864723906219e-05,"al"
"128",1,3,1,4,2,851,0.000178133123006468,"al"
"129",1,3,1,5,1,1300,0.000272118754298953,"al"
"130",1,3,1,5,2,1410,0.000295144187355018,"al"
"131",1,3,2,1,1,101246,0.0211930272290398,"al"
"132",1,3,2,1,2,117290,0.0245513913013263,"al"
"133",1,3,2,2,1,37468,0.00784288114313321,"al"
"134",1,3,2,2,2,39298,0.00822594062033866,"al"
"135",1,3,2,3,1,1327,0.000277770451503624,"al"
"136",1,3,2,3,2,1844,0.00038598998686713,"al"
"137",1,3,2,4,1,413,8.64500350195905e-05,"al"
"138",1,3,2,4,2,1340,0.000280491639046613,"al"
"139",1,3,2,5,1,2157,0.000451507810017571,"al"
"140",1,3,2,5,2,2094,0.000438320516540006,"al"
"141",1,3,3,1,1,70262,0.0147073907035023,"al"
"142",1,3,3,1,2,78126,0.0163534998448923,"al"
"143",1,3,3,2,1,21238,0.00444558315677013,"al"
"144",1,3,3,2,2,28685,0.00600440497466574,"al"
"145",1,3,3,3,1,747,0.000156363622662552,"al"
"146",1,3,3,3,2,1116,0.000233603484459717,"al"
"147",1,3,3,4,1,304,6.36339240822167e-05,"al"
"148",1,3,3,4,2,614,0.000128523780876582,"al"
"149",1,3,3,5,1,1792,0.000375105236695172,"al"
"150",1,3,3,5,2,1942,0.000406503554498897,"al"
"151",1,3,4,1,1,21362,0.00447153909948787,"al"
"152",1,3,4,1,2,28524,0.00597070411355641,"al"
"153",1,3,4,2,1,7081,0.00148220992245453,"al"
"154",1,3,4,2,2,10689,0.00223744412669347,"al"
"155",1,3,4,3,1,401,8.39381695952924e-05,"al"
"156",1,3,4,3,2,359,7.51466406102493e-05,"al"
"157",1,3,4,4,1,91,1.90483128009267e-05,"al"
"158",1,3,4,4,2,321,6.71924000999722e-05,"al"
"159",1,3,4,5,1,644,0.000134803444437327,"al"
"160",1,3,4,5,2,942,0.000197181435807395,"al"
"161",1,3,5,1,1,57425,0.0120203226658595,"al"
"162",1,3,5,1,2,47216,0.00988335315613797,"al"
"163",1,3,5,2,1,7820,0.00163689896816755,"al"
"164",1,3,5,2,2,12428,0.00260145529109799,"al"
"165",1,3,5,3,1,729,0.000152595824526105,"al"
"166",1,3,5,3,2,468,9.79627515476231e-05,"al"
"167",1,3,5,4,1,684,0.000143176329184988,"al"
"168",1,3,5,4,2,850,0.000177923800887777,"al"
"169",1,3,5,5,1,702,0.000146944127321435,"al"
"170",1,3,5,5,2,578,0.000120988184603688,"al"
"171",1,3,6,1,1,34350,0.0071902147770531,"al"
"172",1,3,6,1,2,35726,0.00747824201237261,"al"
"173",1,3,6,2,1,4105,0.000859267297228617,"al"
"174",1,3,6,2,2,8044,0.00168378712275444,"al"
"175",1,3,6,3,1,648,0.000135640732912094,"al"
