"","state","sex","race","age","education","n"
"1","al","1","1","1","1","394676"
"2","al","1","1","1","2","99678"
"3","al","1","1","1","3","106495"
"4","al","1","1","1","4","19201"
"5","al","1","1","1","5","45301"
"6","al","1","1","1","6","13027"
"7","al","1","1","2","1","46206"
"8","al","1","1","2","2","100420"
"9","al","1","1","2","3","72781"
"10","al","1","1","2","4","25277"
"11","al","1","1","2","5","53453"
"12","al","1","1","2","6","28642"
"13","al","1","1","3","1","46967"
"14","al","1","1","3","2","101246"
"15","al","1","1","3","3","70262"
"16","al","1","1","3","4","21362"
"17","al","1","1","3","5","57425"
"18","al","1","1","3","6","34350"
"19","al","1","1","4","1","49651"
"20","al","1","1","4","2","71716"
"21","al","1","1","4","3","42867"
"22","al","1","1","4","4","8120"
"23","al","1","1","4","5","31833"
"24","al","1","1","4","6","25229"
"25","al","1","2","1","1","208076"
"26","al","1","2","1","2","54969"
"27","al","1","2","1","3","44400"
"28","al","1","2","1","4","5243"
"29","al","1","2","1","5","9476"
"30","al","1","2","1","6","2275"
"31","al","1","2","2","1","18736"
"32","al","1","2","2","2","45881"
"33","al","1","2","2","3","25844"
"34","al","1","2","2","4","7641"
"35","al","1","2","2","5","9540"
"36","al","1","2","2","6","3258"
"37","al","1","2","3","1","23234"
"38","al","1","2","3","2","37468"
"39","al","1","2","3","3","21238"
"40","al","1","2","3","4","7081"
"41","al","1","2","3","5","7820"
"42","al","1","2","3","6","4105"
"43","al","1","2","4","1","20446"
"44","al","1","2","4","2","13384"
"45","al","1","2","4","3","5134"
"46","al","1","2","4","4","1396"
"47","al","1","2","4","5","1692"
"48","al","1","2","4","6","2827"
"49","al","1","3","1","1","49424"
"50","al","1","3","1","2","12025"
"51","al","1","3","1","3","5222"
"52","al","1","3","1","4","819"
"53","al","1","3","1","5","1841"
"54","al","1","3","1","6","433"
"55","al","1","3","2","1","10057"
"56","al","1","3","2","2","5244"
"57","al","1","3","2","3","2409"
"58","al","1","3","2","4","759"
"59","al","1","3","2","5","1437"
"60","al","1","3","2","6","615"
"61","al","1","3","3","1","2594"
"62","al","1","3","3","2","1327"
"63","al","1","3","3","3","747"
"64","al","1","3","3","4","401"
"65","al","1","3","3","5","729"
"66","al","1","3","3","6","648"
"67","al","1","3","4","1","768"
"68","al","1","3","4","2","435"
"69","al","1","3","4","3","591"
"70","al","1","3","4","4","122"
"71","al","1","3","4","5","218"
"72","al","1","3","4","6","279"
"73","al","1","4","1","1","6978"
"74","al","1","4","1","2","1060"
"75","al","1","4","1","3","2103"
"76","al","1","4","1","4","332"
"77","al","1","4","1","5","1835"
"78","al","1","4","1","6","1190"
"79","al","1","4","2","1","657"
"80","al","1","4","2","2","1225"
"81","al","1","4","2","3","674"
"82","al","1","4","2","4","357"
"83","al","1","4","2","5","1251"
"84","al","1","4","2","6","2296"
"85","al","1","4","3","1","374"
"86","al","1","4","3","2","413"
"87","al","1","4","3","3","304"
"88","al","1","4","3","4","91"
"89","al","1","4","3","5","684"
"90","al","1","4","3","6","1065"
"91","al","1","4","4","1","287"
"92","al","1","4","4","2","10"
"93","al","1","4","4","3","41"
"94","al","1","4","4","4","117"
"95","al","1","4","4","5","262"
"96","al","1","4","4","6","498"
"97","al","1","5","1","1","19660"
"98","al","1","5","1","2","3460"
"99","al","1","5","1","3","2976"
"100","al","1","5","1","4","427"
"101","al","1","5","1","5","934"
"102","al","1","5","1","6","382"
"103","al","1","5","2","1","1552"
"104","al","1","5","2","2","2381"
"105","al","1","5","2","3","1707"
"106","al","1","5","2","4","402"
"107","al","1","5","2","5","807"
"108","al","1","5","2","6","340"
"109","al","1","5","3","1","1300"
"110","al","1","5","3","2","2157"
"111","al","1","5","3","3","1792"
"112","al","1","5","3","4","644"
"113","al","1","5","3","5","702"
"114","al","1","5","3","6","754"
"115","al","1","5","4","1","1030"
"116","al","1","5","4","2","754"
"117","al","1","5","4","3","704"
"118","al","1","5","4","4","129"
"119","al","1","5","4","5","414"
"120","al","1","5","4","6","228"
"121","al","2","1","1","1","366335"
"122","al","2","1","1","2","77179"
"123","al","2","1","1","3","112981"
"124","al","2","1","1","4","26859"
"125","al","2","1","1","5","58460"
"126","al","2","1","1","6","18560"
"127","al","2","1","2","1","33310"
"128","al","2","1","2","2","86758"
"129","al","2","1","2","3","77700"
"130","al","2","1","2","4","35128"
"131","al","2","1","2","5","62805"
"132","al","2","1","2","6","32348"
"133","al","2","1","3","1","39989"
"134","al","2","1","3","2","117290"
"135","al","2","1","3","3","78126"
"136","al","2","1","3","4","28524"
"137","al","2","1","3","5","47216"
"138","al","2","1","3","6","35726"
"139","al","2","1","4","1","75523"
"140","al","2","1","4","2","121729"
"141","al","2","1","4","3","54321"
"142","al","2","1","4","4","10178"
"143","al","2","1","4","5","23015"
"144","al","2","1","4","6","16639"
"145","al","2","2","1","1","196291"
"146","al","2","2","1","2","49809"
"147","al","2","2","1","3","63384"
"148","al","2","2","1","4","9414"
"149","al","2","2","1","5","16812"
"150","al","2","2","1","6","5317"
"151","al","2","2","2","1","17781"
"152","al","2","2","2","2","40396"
"153","al","2","2","2","3","36456"
"154","al","2","2","2","4","15451"
"155","al","2","2","2","5","15852"
"156","al","2","2","2","6","8920"
"157","al","2","2","3","1","21923"
"158","al","2","2","3","2","39298"
"159","al","2","2","3","3","28685"
"160","al","2","2","3","4","10689"
"161","al","2","2","3","5","12428"
"162","al","2","2","3","6","8044"
"163","al","2","2","4","1","32753"
"164","al","2","2","4","2","19593"
"165","al","2","2","4","3","8837"
"166","al","2","2","4","4","2683"
"167","al","2","2","4","5","3914"
"168","al","2","2","4","6","4514"
"169","al","2","3","1","1","44605"
"170","al","2","3","1","2","7624"
"171","al","2","3","1","3","4220"
"172","al","2","3","1","4","763"
"173","al","2","3","1","5","1961"
"174","al","2","3","1","6","526"
"175","al","2","3","2","1","5145"
"176","al","2","3","2","2","3713"
"177","al","2","3","2","3","2255"
"178","al","2","3","2","4","900"
"179","al","2","3","2","5","1714"
"180","al","2","3","2","6","744"
"181","al","2","3","3","1","1532"
"182","al","2","3","3","2","1844"
"183","al","2","3","3","3","1116"
"184","al","2","3","3","4","359"
"185","al","2","3","3","5","468"
"186","al","2","3","3","6","332"
"187","al","2","3","4","1","983"
"188","al","2","3","4","2","1187"
"189","al","2","3","4","3","461"
"190","al","2","3","4","4","132"
"191","al","2","3","4","5","205"
"192","al","2","3","4","6","164"
"193","al","2","4","1","1","7378"
"194","al","2","4","1","2","1682"
"195","al","2","4","1","3","1694"
"196","al","2","4","1","4","314"
"197","al","2","4","1","5","2769"
"198","al","2","4","1","6","1836"
"199","al","2","4","2","1","658"
"200","al","2","4","2","2","1615"
"201","al","2","4","2","3","920"
"202","al","2","4","2","4","506"
"203","al","2","4","2","5","1751"
"204","al","2","4","2","6","1688"
"205","al","2","4","3","1","851"
"206","al","2","4","3","2","1340"
"207","al","2","4","3","3","614"
"208","al","2","4","3","4","321"
"209","al","2","4","3","5","850"
"210","al","2","4","3","6","655"
"211","al","2","4","4","1","907"
"212","al","2","4","4","2","739"
"213","al","2","4","4","3","280"
"214","al","2","4","4","4","56"
"215","al","2","4","4","5","137"
"216","al","2","4","4","6","182"
"217","al","2","5","1","1","15905"
"218","al","2","5","1","2","2358"
"219","al","2","5","1","3","3410"
"220","al","2","5","1","4","659"
"221","al","2","5","1","5","1288"
"222","al","2","5","1","6","531"
"223","al","2","5","2","1","1006"
"224","al","2","5","2","2","1711"
"225","al","2","5","2","3","1915"
"226","al","2","5","2","4","1056"
"227","al","2","5","2","5","1146"
"228","al","2","5","2","6","746"
"229","al","2","5","3","1","1410"
"230","al","2","5","3","2","2094"
"231","al","2","5","3","3","1942"
"232","al","2","5","3","4","942"
"233","al","2","5","3","5","578"
"234","al","2","5","3","6","563"
"235","al","2","5","4","1","979"
"236","al","2","5","4","2","994"
"237","al","2","5","4","3","620"
"238","al","2","5","4","4","203"
"239","al","2","5","4","5","190"
"240","al","2","5","4","6","208"
"241","ak","1","1","1","1","55039"
"242","ak","1","1","1","2","19975"
"243","ak","1","1","1","3","22229"
"244","ak","1","1","1","4","4222"
"245","ak","1","1","1","5","6810"
"246","ak","1","1","1","6","1594"
"247","ak","1","1","2","1","2739"
"248","ak","1","1","2","2","14388"
"249","ak","1","1","2","3","14255"
"250","ak","1","1","2","4","4652"
"251","ak","1","1","2","5","9908"
"252","ak","1","1","2","6","6379"
"253","ak","1","1","3","1","1975"
"254","ak","1","1","3","2","14791"
"255","ak","1","1","3","3","15731"
"256","ak","1","1","3","4","4995"
"257","ak","1","1","3","5","11414"
"258","ak","1","1","3","6","8054"
"259","ak","1","1","4","1","2010"
"260","ak","1","1","4","2","5227"
"261","ak","1","1","4","3","6035"
"262","ak","1","1","4","4","823"
"263","ak","1","1","4","5","3602"
"264","ak","1","1","4","6","3268"
"265","ak","1","2","1","1","3230"
"266","ak","1","2","1","2","1831"
"267","ak","1","2","1","3","1576"
"268","ak","1","2","1","4","313"
"269","ak","1","2","1","5","302"
"270","ak","1","2","1","6","153"
"271","ak","1","2","2","1","92"
"272","ak","1","2","2","2","811"
"273","ak","1","2","2","3","979"
"274","ak","1","2","2","4","521"
"275","ak","1","2","2","5","351"
"276","ak","1","2","2","6","213"
"277","ak","1","2","3","1","121"
"278","ak","1","2","3","2","438"
"279","ak","1","2","3","3","390"
"280","ak","1","2","3","4","258"
"281","ak","1","2","3","5","320"
"282","ak","1","2","3","6","134"
"283","ak","1","2","4","1","64"
"284","ak","1","2","4","2","142"
"285","ak","1","2","4","3","359"
"286","ak","1","2","4","4","0"
"287","ak","1","2","4","5","0"
"288","ak","1","2","4","6","42"
"289","ak","1","3","1","1","8626"
"290","ak","1","3","1","2","2033"
"291","ak","1","3","1","3","2784"
"292","ak","1","3","1","4","336"
"293","ak","1","3","1","5","122"
"294","ak","1","3","1","6","63"
"295","ak","1","3","2","1","787"
"296","ak","1","3","2","2","970"
"297","ak","1","3","2","3","814"
"298","ak","1","3","2","4","396"
"299","ak","1","3","2","5","528"
"300","ak","1","3","2","6","450"
"301","ak","1","3","3","1","399"
"302","ak","1","3","3","2","770"
"303","ak","1","3","3","3","413"
"304","ak","1","3","3","4","102"
"305","ak","1","3","3","5","135"
"306","ak","1","3","3","6","196"
"307","ak","1","3","4","1","240"
"308","ak","1","3","4","2","50"
"309","ak","1","3","4","3","106"
"310","ak","1","3","4","4","18"
"311","ak","1","3","4","5","21"
"312","ak","1","3","4","6","16"
"313","ak","1","4","1","1","5060"
"314","ak","1","4","1","2","1559"
"315","ak","1","4","1","3","1158"
"316","ak","1","4","1","4","121"
"317","ak","1","4","1","5","631"
"318","ak","1","4","1","6","133"
"319","ak","1","4","2","1","499"
"320","ak","1","4","2","2","1706"
"321","ak","1","4","2","3","1102"
"322","ak","1","4","2","4","277"
"323","ak","1","4","2","5","519"
"324","ak","1","4","2","6","347"
"325","ak","1","4","3","1","665"
"326","ak","1","4","3","2","1259"
"327","ak","1","4","3","3","597"
"328","ak","1","4","3","4","114"
"329","ak","1","4","3","5","612"
"330","ak","1","4","3","6","187"
"331","ak","1","4","4","1","272"
"332","ak","1","4","4","2","366"
"333","ak","1","4","4","3","426"
"334","ak","1","4","4","4","16"
"335","ak","1","4","4","5","92"
"336","ak","1","4","4","6","62"
"337","ak","1","5","1","1","34855"
"338","ak","1","5","1","2","10059"
"339","ak","1","5","1","3","5645"
"340","ak","1","5","1","4","428"
"341","ak","1","5","1","5","842"
"342","ak","1","5","1","6","190"
"343","ak","1","5","2","1","1315"
"344","ak","1","5","2","2","6483"
"345","ak","1","5","2","3","3448"
"346","ak","1","5","2","4","559"
"347","ak","1","5","2","5","581"
"348","ak","1","5","2","6","221"
"349","ak","1","5","3","1","1527"
"350","ak","1","5","3","2","4192"
"351","ak","1","5","3","3","2730"
"352","ak","1","5","3","4","484"
"353","ak","1","5","3","5","621"
"354","ak","1","5","3","6","382"
"355","ak","1","5","4","1","1763"
"356","ak","1","5","4","2","1210"
"357","ak","1","5","4","3","570"
"358","ak","1","5","4","4","96"
"359","ak","1","5","4","5","101"
"360","ak","1","5","4","6","59"
"361","ak","2","1","1","1","50201"
"362","ak","2","1","1","2","11302"
"363","ak","2","1","1","3","18935"
"364","ak","2","1","1","4","3473"
"365","ak","2","1","1","5","10485"
"366","ak","2","1","1","6","3591"
"367","ak","2","1","2","1","1507"
"368","ak","2","1","2","2","8901"
"369","ak","2","1","2","3","13916"
"370","ak","2","1","2","4","4913"
"371","ak","2","1","2","5","11073"
"372","ak","2","1","2","6","6728"
"373","ak","2","1","3","1","1573"
"374","ak","2","1","3","2","9758"
"375","ak","2","1","3","3","15607"
"376","ak","2","1","3","4","5389"
"377","ak","2","1","3","5","9602"
"378","ak","2","1","3","6","7304"
"379","ak","2","1","4","1","2079"
"380","ak","2","1","4","2","5478"
"381","ak","2","1","4","3","6161"
"382","ak","2","1","4","4","1289"
"383","ak","2","1","4","5","3268"
"384","ak","2","1","4","6","2272"
"385","ak","2","2","1","1","3125"
"386","ak","2","2","1","2","567"
"387","ak","2","2","1","3","1357"
"388","ak","2","2","1","4","211"
"389","ak","2","2","1","5","262"
"390","ak","2","2","1","6","72"
"391","ak","2","2","2","1","238"
"392","ak","2","2","2","2","560"
"393","ak","2","2","2","3","574"
"394","ak","2","2","2","4","338"
"395","ak","2","2","2","5","391"
"396","ak","2","2","2","6","95"
"397","ak","2","2","3","1","253"
"398","ak","2","2","3","2","244"
"399","ak","2","2","3","3","691"
"400","ak","2","2","3","4","152"
"401","ak","2","2","3","5","379"
"402","ak","2","2","3","6","115"
"403","ak","2","2","4","1","241"
"404","ak","2","2","4","2","149"
"405","ak","2","2","4","3","122"
"406","ak","2","2","4","4","39"
"407","ak","2","2","4","5","76"
"408","ak","2","2","4","6","20"
"409","ak","2","3","1","1","7950"
"410","ak","2","3","1","2","1547"
"411","ak","2","3","1","3","1862"
"412","ak","2","3","1","4","682"
"413","ak","2","3","1","5","751"
"414","ak","2","3","1","6","128"
"415","ak","2","3","2","1","367"
"416","ak","2","3","2","2","786"
"417","ak","2","3","2","3","1158"
"418","ak","2","3","2","4","574"
"419","ak","2","3","2","5","883"
"420","ak","2","3","2","6","314"
"421","ak","2","3","3","1","358"
"422","ak","2","3","3","2","496"
"423","ak","2","3","3","3","689"
"424","ak","2","3","3","4","290"
"425","ak","2","3","3","5","311"
"426","ak","2","3","3","6","141"
"427","ak","2","3","4","1","273"
"428","ak","2","3","4","2","112"
"429","ak","2","3","4","3","50"
"430","ak","2","3","4","4","0"
