"","ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","n","weighted_share","state"
"1",1,1,1,1,1,1,1,1,47870,0.0100202498217622,"al"
"2",1,1,1,1,1,1,1,2,8526,0.00178468038396375,"al"
"3",1,1,1,1,1,1,1,3,206,4.31203564504495e-05,"al"
"4",1,1,1,1,1,1,1,4,13,2.72118754298953e-06,"al"
"5",1,1,1,1,1,1,1,5,1161,0.000243022979800834,"al"
"6",1,1,1,1,1,1,1,6,520,0.000108847501719581,"al"
"7",1,1,1,1,1,1,2,1,52875,0.0110679070258132,"al"
"8",1,1,1,1,1,1,2,2,16620,0.00347893361265277,"al"
"9",1,1,1,1,1,1,2,3,446,9.335766493641e-05,"al"
"10",1,1,1,1,1,1,2,5,1207,0.000252651797260643,"al"
"11",1,1,1,1,1,1,2,6,145,3.03517072102678e-05,"al"
"12",1,1,1,1,1,2,1,1,19930,0.00417178982552164,"al"
"13",1,1,1,1,1,2,1,2,4742,0.000992605486835104,"al"
"14",1,1,1,1,1,2,1,3,50,1.04661059345751e-05,"al"
"15",1,1,1,1,1,2,1,5,700,0.000146525483084052,"al"
"16",1,1,1,1,1,2,1,6,429,8.97991889186545e-05,"al"
"17",1,1,1,1,1,2,1,7,34,7.11695203551108e-06,"al"
"18",1,1,1,1,1,2,2,1,60413,0.0126457771565097,"al"
"19",1,1,1,1,1,2,2,2,13501,0.00282605792445397,"al"
"20",1,1,1,1,1,2,2,3,390,8.16356262896859e-05,"al"
"21",1,1,1,1,1,2,2,5,1072,0.00022439331123729,"al"
"22",1,1,1,1,1,2,2,6,496,0.000103823770870985,"al"
"23",1,1,1,1,1,2,2,7,52,1.08847501719581e-05,"al"
"24",1,1,1,1,2,1,1,1,261061,0.0546458416277223,"al"
"25",1,1,1,1,2,1,1,2,57921,0.0121241464367305,"al"
"26",1,1,1,1,2,1,1,3,1598,0.000334496745669021,"al"
"27",1,1,1,1,2,1,1,5,3998,0.000836869830528626,"al"
"28",1,1,1,1,2,1,1,6,1377,0.000288236557438199,"al"
"29",1,1,1,1,2,1,1,7,80,1.67457694953202e-05,"al"
"30",1,1,1,1,2,1,2,1,126484,0.026475898860576,"al"
"31",1,1,1,1,2,1,2,2,28506,0.00596693631541997,"al"
"32",1,1,1,1,2,1,2,3,466,9.75441073102401e-05,"al"
"33",1,1,1,1,2,1,2,5,1776,0.000371756082796108,"al"
"34",1,1,1,1,2,1,2,6,164,3.43288274654064e-05,"al"
"35",1,1,1,1,2,1,2,7,76,1.59084810205542e-05,"al"
