"","ST","education","race","n","weighted_share_of_state","state"
"1",1,1,1,1052657,0.220344393495441,"al"
"2",1,1,2,539240,0.112874859283206,"al"
"3",1,1,3,115108,0.0240946504383414,"al"
"4",1,1,4,18090,0.00378663712712928,"al"
"5",1,1,5,42842,0.00896777820898134,"al"
"6",1,2,1,776016,0.162437313258505,"al"
"7",1,2,2,300798,0.0629636746581665,"al"
"8",1,2,3,33399,0.00699114944217749,"al"
"9",1,2,4,8084,0.0016921600075021,"al"
"10",1,2,5,15909,0.00333010558626311,"al"
"11",1,3,1,615533,0.128844671684537,"al"
"12",1,3,2,233978,0.0489767706872003,"al"
"13",1,3,3,17021,0.00356287178224806,"al"
"14",1,3,4,6630,0.00138780564692466,"al"
"15",1,3,5,15066,0.00315364704020617,"al"
"16",1,4,1,174649,0.0365578987073522,"al"
"17",1,4,2,59598,0.0124751796297762,"al"
"18",1,4,3,4255,0.000890665615032342,"al"
"19",1,4,4,2094,0.000438320516540006,"al"
"20",1,4,5,4462,0.000933995293601483,"al"
"21",1,5,1,379508,0.0794394186203747,"al"
"22",1,5,2,77534,0.0162295811506269,"al"
"23",1,5,3,8573,0.00179451852354225,"al"
"24",1,5,4,9539,0.00199672369019824,"al"
"25",1,5,5,6059,0.00126828271715181,"al"
"26",1,6,1,204521,0.0428107690369047,"al"
"27",1,6,2,39260,0.00821798637982838,"al"
"28",1,6,3,3741,0.00078307404602491,"al"
"29",1,6,4,9410,0.00196972113688704,"al"
"30",1,6,5,3752,0.000785376589330517,"al"
"31",2,1,1,117123,0.164697759509744,"ak"
"32",2,1,2,7364,0.0103552188812595,"ak"
"33",2,1,3,19000,0.0267177021651182,"ak"
"34",2,1,4,14553,0.0204643536636298,"ak"
"35",2,1,5,76628,0.107753899026773,"ak"
"36",2,2,1,89820,0.126304421498469,"ak"
"37",2,2,2,4742,0.00666817598247319,"ak"
"38",2,2,3,6764,0.00951150197078208,"ak"
"39",2,2,4,9592,0.0134882210088323,"ak"
"40",2,2,5,39297,0.0552592390517184,"ak"
"41",2,3,1,112869,0.158715806614459,"ak"
"42",2,3,2,6048,0.00850466645761237,"ak"
"43",2,3,3,7876,0.0110751906448669,"ak"
"44",2,3,4,6586,0.00926119928734045,"ak"
"45",2,3,5,27142,0.0381669406402968,"ak"
"46",2,4,1,29756,0.0418427339802767,"ak"
"47",2,4,2,1832,0.00257614896665771,"ak"
"48",2,4,3,2398,0.00337205525220808,"ak"
"49",2,4,4,1246,0.00175211878409144,"ak"
"50",2,4,5,4030,0.00566696524870665,"ak"
"51",2,5,1,66162,0.0930366637183448,"ak"
"52",2,5,2,2081,0.00292629148450584,"ak"
"53",2,5,3,2802,0.00394015797192954,"ak"
"54",2,5,4,4534,0.00637568745350768,"ak"
"55",2,5,5,5634,0.00792250178938295,"ak"
"56",2,6,1,39190,0.0551087762026833,"ak"
"57",2,6,2,844,0.00118682845407157,"ak"
"58",2,6,3,1381,0.00194195508894886,"ak"
"59",2,6,4,1624,0.00228366043769221,"ak"
"60",2,6,5,2221,0.00312315876361724,"ak"
"61",4,1,1,894680,0.139554348875577,"az"
"62",4,1,2,91510,0.0142739509831494,"az"
"63",4,1,3,1116130,0.174096655128647,"az"
"64",4,1,4,53459,0.00833866403243561,"az"
