"","ST","age","education","race","sex","n","weighted_share_of_state","state"
"1",1,1,1,1,1,344421,0.0720949334418459,"al"
"2",1,1,1,1,2,325726,0.0681816564329083,"al"
"3",1,1,1,2,1,173065,0.0362263324713449,"al"
"4",1,1,1,2,2,168965,0.0353681117847097,"al"
"5",1,1,1,3,1,32479,0.0067985730929813,"al"
"6",1,1,1,3,2,33587,0.00703050200049149,"al"
"7",1,1,1,4,1,6390,0.0013375683384387,"al"
"8",1,1,1,4,2,6962,0.00145730059033024,"al"
"9",1,1,1,5,1,17987,0.00376507694890405,"al"
"10",1,1,1,5,2,14963,0.00313208686198095,"al"
"11",1,1,2,1,1,1019,0.000213299238946641,"al"
"12",1,1,2,1,2,1600,0.000334915389906404,"al"
"13",1,1,2,2,1,522,0.000109266145956964,"al"
"14",1,1,2,2,2,655,0.000137105987742934,"al"
"15",1,1,2,3,1,133,2.78398417859698e-05,"al"
"16",1,1,2,3,2,22,4.60508661121305e-06,"al"
"17",1,1,2,4,2,3,6.27966356074507e-07,"al"
"18",1,1,2,5,1,22,4.60508661121305e-06,"al"
"19",1,1,2,5,2,82,1.71644137327032e-05,"al"
"20",1,1,3,1,1,388,8.12169820523029e-05,"al"
"21",1,1,3,1,2,449,9.39856312924845e-05,"al"
"22",1,1,3,2,1,39,8.16356262896859e-06,"al"
"23",1,1,3,2,2,245,5.12839190794181e-05,"al"
"24",1,1,3,4,2,33,6.90762991681958e-06,"al"
"25",1,1,3,5,1,12,2.51186542429803e-06,"al"
"26",1,1,4,1,1,41,8.5822068663516e-06,"al"
"27",1,2,1,1,1,50255,0.0105194830748414,"al"
"28",1,2,1,1,2,40609,0.00850036191794322,"al"
"29",1,2,1,2,1,35011,0.00732857669750819,"al"
"30",1,2,1,2,2,27326,0.00571993621536399,"al"
"31",1,2,1,3,1,16945,0.00354696330122751,"al"
"32",1,2,1,3,2,11018,0.00230631110374297,"al"
"33",1,2,1,4,1,588,0.000123081405790603,"al"
"34",1,2,1,4,2,416,8.7078001375665e-05,"al"
"35",1,2,1,5,1,1673,0.000350195904570883,"al"
