"","ST","age","citizen","marital","education","employment","race","sex","n","weighted_share_of_state","state"
"1",1,1,1,1,1,1,1,1,46584,0.00975106157712494,"al"
"2",1,1,1,1,1,1,1,2,19519,0.00408575843473943,"al"
"3",1,1,1,1,1,1,2,1,8526,0.00178468038396375,"al"
"4",1,1,1,1,1,1,2,2,4708,0.000985488534799593,"al"
"5",1,1,1,1,1,1,3,1,2086,0.000436645939590474,"al"
"6",1,1,1,1,1,1,3,2,915,0.000191529738602725,"al"
"7",1,1,1,1,1,1,4,1,498,0.000104242415108368,"al"
"8",1,1,1,1,1,1,4,2,429,8.97991889186545e-05,"al"
"9",1,1,1,1,1,1,5,1,602,0.000126011915452284,"al"
"10",1,1,1,1,1,1,5,2,314,6.57271452691317e-05,"al"
"11",1,1,1,1,1,2,1,1,52225,0.0109318476486637,"al"
"12",1,1,1,1,1,2,1,2,59250,0.0124023355324715,"al"
"13",1,1,1,1,1,2,2,1,16523,0.00345862936713969,"al"
"14",1,1,1,1,1,2,2,2,13415,0.0028080562222465,"al"
"15",1,1,1,1,1,2,3,1,918,0.000192157704958799,"al"
"16",1,1,1,1,1,2,3,2,1461,0.000305819615408285,"al"
"17",1,1,1,1,1,2,4,1,131,2.74211975485868e-05,"al"
"18",1,1,1,1,1,2,4,2,496,0.000103823770870985,"al"
"19",1,1,1,1,1,2,5,1,1496,0.000313145889562487,"al"
"20",1,1,1,1,1,2,5,2,1302,0.000272537398536336,"al"
"21",1,1,1,1,2,1,1,1,140881,0.0294895094033775,"al"
"22",1,1,1,1,2,1,1,2,99725,0.0208746482865101,"al"
"23",1,1,1,1,2,1,2,1,34431,0.00720716986866712,"al"
"24",1,1,1,1,2,1,2,2,21561,0.00451319420110748,"al"
"25",1,1,1,1,2,1,3,1,1887,0.000394990837970865,"al"
"26",1,1,1,1,2,1,3,2,1459,0.000305400971170902,"al"
"27",1,1,1,1,2,1,4,1,687,0.000143804295541062,"al"
"28",1,1,1,1,2,1,4,2,1390,0.000290957744981188,"al"
"29",1,1,1,1,2,1,5,1,2591,0.000542353609529682,"al"
"30",1,1,1,1,2,1,5,2,1410,0.000295144187355018,"al"
"31",1,1,1,1,2,2,1,1,78082,0.0163442896716699,"al"
"32",1,1,1,1,2,2,1,2,126470,0.0264729683509143,"al"
"33",1,1,1,1,2,2,2,1,18712,0.00391683548495539,"al"
"34",1,1,1,1,2,2,2,2,17025,0.00356370907072283,"al"
"35",1,1,1,1,2,2,3,1,545,0.000114080554686869,"al"
"36",1,1,1,1,2,2,3,2,1884,0.00039436287161479,"al"
"37",1,1,1,1,2,2,4,1,20,4.18644237383005e-06,"al"
"38",1,1,1,1,2,2,4,2,816,0.000170806848852266,"al"
"39",1,1,1,1,2,2,5,1,1132,0.000236952638358781,"al"
"40",1,1,1,1,2,2,5,2,1923,0.000402526434243759,"al"
"41",1,1,1,1,3,1,1,1,117801,0.0246583549039777,"al"
"42",1,1,1,1,3,1,1,2,90648,0.0189746314151473,"al"
"43",1,1,1,1,3,1,2,1,23193,0.00485480789881201,"al"
"44",1,1,1,1,3,1,2,2,21996,0.00460424932273829,"al"
"45",1,1,1,1,3,1,3,1,1776,0.000371756082796108,"al"
"46",1,1,1,1,3,1,3,2,1097,0.000229626364204578,"al"
"47",1,1,1,1,3,1,4,1,690,0.000144432261897137,"al"
"48",1,1,1,1,3,1,4,2,696,0.000145688194609286,"al"
"49",1,1,1,1,3,1,5,1,2098,0.000439157805014772,"al"
"50",1,1,1,1,3,1,5,2,1424,0.000298074697016699,"al"
"51",1,1,1,1,3,2,1,1,47618,0.00996750064785196,"al"
"52",1,1,1,1,3,2,1,2,76798,0.01607552007127,"al"
"53",1,1,1,1,3,2,2,1,9684,0.00202707539740851,"al"
"54",1,1,1,1,3,2,2,2,13676,0.00286268929522499,"al"
"55",1,1,1,1,3,2,3,1,608,0.000127267848164433,"al"
"56",1,1,1,1,3,2,3,2,1114,0.000233184840222334,"al"
"57",1,1,1,1,3,2,4,1,82,1.71644137327032e-05,"al"
"58",1,1,1,1,3,2,4,2,355,7.43093521354833e-05,"al"
"59",1,1,1,1,3,2,5,1,989,0.000207019575385896,"al"
"60",1,1,1,1,3,2,5,2,1239,0.000259350105058771,"al"
"61",1,1,1,1,4,1,1,1,39735,0.00831741438620684,"al"
"62",1,1,1,1,4,1,1,2,45153,0.0094515216252774,"al"
"63",1,1,1,1,4,1,2,1,8373,0.00175265409980395,"al"
"64",1,1,1,1,4,1,2,2,10810,0.00226277210305514,"al"
"65",1,1,1,1,4,1,3,1,717,0.000150083959101807,"al"
"66",1,1,1,1,4,1,3,2,574,0.000120150896128922,"al"
"67",1,1,1,1,4,1,4,1,312,6.53085010317487e-05,"al"
"68",1,1,1,1,4,1,4,2,367,7.68212175597813e-05,"al"
"69",1,1,1,1,4,1,5,1,824,0.000172481425801798,"al"
"70",1,1,1,1,4,1,5,2,1214,0.000254117052091484,"al"
"71",1,1,1,1,4,2,1,1,10267,0.00214911019260565,"al"
"72",1,1,1,1,4,2,1,2,20505,0.00429215004376926,"al"
"73",1,1,1,1,4,2,2,1,3004,0.000628803644549273,"al"
"74",1,1,1,1,4,2,2,2,3917,0.000819914738914615,"al"
"75",1,1,1,1,4,2,3,1,187,3.91432361953109e-05,"al"
"76",1,1,1,1,4,2,3,2,226,4.73067988242795e-05,"al"
