"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
2,46,1,1,18,1,1,1,72750,25
2,48,1,1,19,2,1,1,28000,28
2,22,1,5,21,1,1,1,7000,8
2,22,1,1,19,2,6,1,11700,13
2,34,4,1,19,1,4,6,37700,20
2,1,1,5,NA,1,NA,9,NA,17
2,0,1,5,NA,1,NA,9,NA,16
2,9,1,5,6,1,NA,9,NA,29
2,70,1,5,1,1,6,4,20140,11
2,69,1,3,19,1,6,1,16700,26
2,25,5,5,16,1,4,1,32400,39
2,57,1,1,24,2,1,1,153700,6
2,57,1,2,17,2,1,1,38000,20
2,46,1,3,19,1,1,1,21104,12
2,56,1,1,18,1,2,1,60000,24
2,56,1,1,18,2,1,1,50000,24
2,37,2,5,16,1,3,1,10700,6
2,23,1,5,16,2,1,4,45450,6
2,49,1,5,16,2,1,2,44900,135
2,74,1,2,16,1,6,1,31300,15
2,43,1,1,16,1,6,1,2100,16
2,43,1,1,23,2,1,1,30100,23
2,10,1,5,8,2,NA,1,NA,26
2,7,1,5,4,1,NA,1,NA,25
2,4,1,5,1,2,NA,1,NA,49
2,42,1,1,19,2,6,1,1500,7
2,43,1,1,19,1,1,1,27500,6
2,12,1,5,8,1,NA,1,NA,7
2,46,1,2,19,2,1,4,30700,8
2,29,1,3,21,2,1,1,25000,17
2,23,1,5,19,1,1,1,6500,17
2,69,1,1,24,1,1,1,188600,59
2,67,1,1,21,2,6,1,13600,26
2,24,1,5,19,2,1,1,16100,15
2,33,1,3,21,1,1,1,126000,12
2,21,1,5,16,1,6,1,19000,24
2,57,1,5,16,1,1,4,42700,15
2,71,1,3,13,1,6,9,34100,11
2,66,1,3,22,1,6,1,158000,4
2,56,1,1,16,1,6,1,14000,7
2,55,4,1,13,2,1,6,25200,2
2,55,1,1,20,2,1,1,47700,11
2,52,1,1,19,1,1,1,56700,9
2,41,1,4,13,1,6,4,22000,8
2,87,1,4,9,1,6,2,40900,62
2,48,1,1,19,2,1,1,27600,19
2,49,1,1,19,1,1,1,22600,14
2,26,1,1,21,2,1,1,21600,56
2,20,1,5,19,1,6,1,3600,21
2,25,1,1,21,1,1,9,21600,16
2,33,1,1,21,2,1,1,8300,7
2,29,1,1,21,1,1,1,51300,6
2,12,1,5,8,1,NA,1,NA,8
2,9,1,5,6,1,NA,1,NA,9
2,3,1,5,1,1,NA,1,NA,11
2,49,1,1,21,2,1,1,66300,35
2,53,1,1,19,1,1,1,54700,32
2,15,1,5,12,1,NA,1,5530,55
2,15,1,5,12,2,NA,1,3160,36
2,55,3,3,20,2,1,1,26700,101
2,35,1,1,18,2,6,1,1000,14
2,53,1,1,18,1,1,1,-8999,13
2,10,1,5,7,1,NA,1,NA,15
2,8,1,5,5,2,NA,1,NA,16
2,35,1,5,19,2,1,1,65600,25
2,30,1,3,19,2,1,1,49700,55
2,12,1,5,8,2,NA,1,NA,55
2,9,1,5,5,2,NA,1,NA,55
2,6,1,5,3,2,NA,1,NA,55
2,26,1,5,20,1,1,1,49700,35
2,41,1,1,23,1,1,1,106000,27
2,33,1,1,23,2,1,1,42000,14
2,12,1,5,9,1,NA,1,NA,27
2,0,1,5,NA,1,NA,1,NA,43
2,26,1,3,21,2,1,1,34600,15
2,27,4,1,19,2,1,6,24000,24
2,23,1,1,19,1,1,2,25000,27
2,22,1,5,18,1,1,2,500,46
2,57,1,2,16,1,1,4,26200,33
2,67,1,1,12,1,6,1,48600,32
2,53,1,1,21,2,1,1,56100,8
2,55,1,1,22,1,1,1,76100,5
2,30,1,3,16,2,1,4,16200,6
2,12,1,5,9,1,NA,4,NA,5
2,6,1,5,2,2,NA,4,NA,5
2,31,1,5,16,1,1,4,12700,8
2,45,1,5,21,2,1,1,49730,20
2,38,1,1,19,1,1,1,47300,27
2,34,1,1,17,2,1,1,49500,31
2,15,1,5,12,1,NA,1,2100,26
2,7,1,5,4,2,NA,1,NA,31
2,1,1,5,NA,1,NA,1,NA,32
2,77,1,2,19,2,6,1,8270,12
2,49,1,1,19,1,1,1,408200,25
2,55,1,1,18,2,6,1,26400,19
2,55,1,1,11,2,6,4,14150,11
2,74,1,1,1,1,6,4,16750,4
2,17,1,5,13,2,6,4,1700,7
2,15,1,5,11,2,NA,4,1700,7
2,8,1,5,5,2,NA,4,NA,7
2,1,1,5,NA,1,NA,4,NA,7
2,68,1,1,22,1,1,1,44500,5
2,71,1,1,20,2,6,1,5300,9
2,19,1,5,16,2,6,1,1700,10
2,61,1,3,21,1,1,4,27900,18
2,68,1,3,17,2,6,3,2400,40
2,37,1,1,20,2,1,4,43800,7
2,39,1,1,12,1,6,4,7800,8
2,8,1,5,5,2,NA,4,NA,9
2,71,1,1,24,1,1,1,188600,61
2,56,1,1,21,2,6,1,0,21
2,26,1,5,21,2,1,1,7300,69
2,53,1,3,19,2,1,1,30000,23
2,38,1,5,16,1,1,1,61000,17
2,29,1,5,16,1,4,1,25000,44
2,54,1,5,19,2,1,4,37000,24
2,15,1,1,13,1,NA,4,0,22
2,43,1,1,16,1,1,1,81700,45
2,42,1,1,16,2,1,1,16700,51
2,20,1,5,16,1,1,1,13700,125
2,16,1,5,12,2,6,1,1700,60
2,65,1,1,23,1,1,1,176500,27
2,64,1,1,19,2,6,1,1000,20
2,23,1,5,21,1,1,1,32100,41
2,23,1,5,19,2,6,1,7600,41
2,53,1,1,20,2,1,1,100000,21
