"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
5,25,1,1,21,1,1,1,30000,18
5,25,1,1,21,2,6,1,0,15
5,63,1,3,16,1,6,1,20300,17
5,32,1,5,19,1,6,1,7500,49
5,82,1,2,15,2,6,1,13800,14
5,55,1,3,22,2,6,1,41400,13
5,45,1,1,16,1,1,1,25800,3
5,37,1,1,16,2,1,1,6200,3
5,10,1,5,6,2,NA,1,NA,4
5,63,1,1,16,2,1,1,35001,64
5,64,1,1,18,1,1,1,37001,63
5,57,1,5,21,1,6,1,0,31
5,43,1,1,19,1,1,1,65000,21
5,45,1,1,21,2,1,2,70000,17
5,12,1,5,9,1,NA,9,NA,16
5,10,1,5,7,1,NA,9,NA,17
5,27,1,1,16,2,1,1,6900,18
5,10,1,5,8,1,NA,1,NA,21
5,6,1,5,4,2,NA,1,NA,25
5,3,1,5,2,2,NA,1,NA,23
5,43,1,3,19,2,1,1,30000,38
5,19,1,5,19,2,1,1,8100,51
5,68,1,1,19,1,1,1,26400,26
5,65,1,1,20,2,6,1,14500,22
5,56,1,1,17,1,1,1,38000,10
5,50,1,1,14,2,6,1,1600,15
5,62,1,2,11,1,1,1,25000,4
5,76,1,3,18,2,6,1,23490,23
5,47,1,3,19,1,1,1,17500,27
5,62,1,3,12,1,6,2,8000,20
5,47,1,1,21,1,1,1,124450,20
5,47,1,1,21,2,1,1,59000,14
5,18,1,5,16,1,6,1,1500,9
5,49,1,1,21,1,1,1,90100,19
5,56,1,1,22,2,1,1,36000,19
5,58,1,3,15,2,6,1,7000,24
5,34,1,3,20,2,1,1,17600,9
5,17,1,5,14,2,6,1,400,10
5,13,1,5,10,1,NA,1,NA,9
5,38,1,1,16,2,1,1,45000,21
5,41,1,1,19,1,1,1,90000,22
5,15,1,5,12,2,NA,1,0,33
5,10,1,5,6,1,NA,1,NA,25
5,7,1,5,4,2,NA,1,NA,25
5,50,1,1,16,2,1,1,30240,12
5,39,1,1,18,1,1,1,44700,20
5,12,1,5,9,2,NA,1,NA,26
5,38,1,1,16,2,6,1,7200,5
5,48,1,1,13,1,1,1,40000,4
5,15,1,5,12,2,NA,1,0,6
5,66,1,5,19,1,6,1,15000,25
5,68,1,5,9,1,6,1,19800,20
5,48,1,5,19,1,6,1,900,43
5,38,1,3,14,1,1,1,80000,8
5,68,1,1,12,1,2,1,30800,18
5,65,1,1,14,2,1,1,9400,15
5,30,1,5,15,1,6,1,7700,22
5,50,1,1,16,1,1,1,145000,6
5,46,1,1,18,2,6,1,15000,6
5,12,1,5,8,2,NA,1,NA,6
5,23,1,5,16,1,1,9,28000,8
5,62,1,2,14,2,6,1,39570,5
5,60,1,2,12,2,6,1,7400,5
5,29,1,5,16,1,6,1,7700,6
5,25,1,5,16,1,6,1,7700,6
5,46,1,1,19,1,1,1,40000,13
5,47,1,1,22,2,1,1,45000,18
5,8,1,5,5,2,NA,1,NA,23
5,6,1,5,2,1,NA,1,NA,19
5,66,1,1,17,1,6,1,22000,11
5,53,1,1,16,2,6,1,3000,12
5,56,1,5,17,1,6,1,2000,17
5,61,1,3,14,1,1,1,27800,27
5,27,1,1,17,2,6,9,3800,5
5,26,1,1,15,1,6,1,20000,4
5,9,1,5,7,2,NA,9,NA,10
5,4,1,5,1,2,NA,9,NA,6
5,82,1,2,17,1,6,1,34800,8
5,50,1,1,16,1,1,1,7800,5
5,41,1,1,16,1,1,1,25000,12
5,41,1,1,16,2,1,1,23800,11
5,14,1,5,12,1,NA,1,NA,9
5,11,1,5,9,2,NA,1,NA,11
5,34,1,3,19,2,6,2,9700,53
5,12,1,5,10,1,NA,2,NA,58
5,11,1,5,8,2,NA,2,NA,62
5,2,1,5,NA,1,NA,2,NA,62
5,36,1,1,22,2,2,1,42000,3
5,36,1,1,16,1,1,9,50000,7
5,13,1,5,10,2,NA,9,NA,16
5,10,1,5,6,1,NA,9,NA,16
5,4,1,5,2,2,NA,9,NA,16
5,20,1,5,19,2,6,1,1500,11
5,86,1,2,10,1,6,1,14400,6
5,32,1,3,14,1,6,1,0,10
5,69,1,1,17,1,6,1,164400,15
5,62,1,1,16,2,1,1,25000,14
5,67,1,2,18,2,1,1,30400,17
