"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
11,25,1,5,21,2,1,1,49500,13
11,24,1,5,21,1,1,8,90000,16
11,18,1,5,16,1,6,2,0,12
11,56,1,3,18,1,6,2,1800,15
11,19,1,5,14,1,6,2,0,10
11,26,1,5,22,2,1,1,60000,16
11,43,5,1,23,1,1,1,130000,14
11,30,1,5,16,1,1,2,3000,39
11,32,1,3,21,2,1,2,40000,39
11,69,1,1,22,1,1,1,160400,19
11,59,1,1,21,2,1,1,64300,14
11,38,1,5,23,2,1,1,47500,17
11,0,1,5,NA,1,NA,6,NA,14
11,37,4,5,22,2,1,6,79620,17
11,38,1,5,16,2,6,2,3800,13
11,32,1,3,16,2,6,2,20530,28
11,13,1,5,10,2,NA,2,NA,25
11,10,1,5,6,1,NA,2,NA,27
11,2,1,5,NA,1,NA,2,NA,33
11,50,1,1,23,1,1,1,160000,14
11,45,1,1,19,2,1,1,168000,13
11,11,1,5,8,2,NA,1,NA,20
11,37,1,3,21,1,1,8,42000,46
11,16,1,5,10,2,6,8,0,44
11,64,4,3,22,2,1,2,64000,13
11,39,1,5,21,1,1,1,125100,14
11,44,5,3,16,2,1,6,15600,13
11,36,5,3,23,1,1,1,200000,14
11,31,5,5,21,2,1,1,47700,18
11,87,1,2,24,1,6,1,106500,22
11,47,1,5,19,2,1,2,7100,13
11,16,1,5,12,1,6,2,0,13
11,12,1,5,9,1,NA,2,NA,14
11,50,1,5,23,2,1,1,547000,22
11,54,1,5,23,2,1,1,133700,14
11,31,1,1,23,2,1,1,262000,13
11,34,1,1,22,1,1,1,155900,15
11,71,1,3,16,1,1,2,25000,16
11,46,4,5,21,1,1,2,40000,15
11,44,1,1,22,2,1,1,25000,13
11,35,4,1,22,1,1,8,198000,17
11,8,1,5,5,2,NA,8,NA,10
11,6,1,5,3,1,NA,8,NA,13
11,50,1,1,22,2,1,1,132000,14
11,47,1,1,19,1,1,1,112000,14
11,33,4,5,21,2,1,6,67000,6
11,58,1,3,19,1,1,2,14000,13
11,69,4,5,21,1,1,6,28400,25
11,41,1,5,17,1,1,2,102000,11
11,50,1,5,19,2,1,2,69000,17
11,18,1,5,14,2,6,2,0,8
11,15,1,5,12,2,NA,2,0,15
11,46,1,5,15,1,6,2,6300,16
11,46,1,1,22,2,1,1,88000,12
11,57,5,1,24,1,1,1,180000,13
11,87,4,2,16,2,6,2,21300,9
11,52,1,5,14,1,1,2,36000,26
11,49,1,3,12,1,6,2,17000,12
11,46,1,2,19,2,6,2,16000,10
11,25,1,5,21,2,1,1,37000,11
11,20,1,5,13,1,6,2,5000,10
11,69,1,3,20,1,1,2,55500,13
11,48,1,1,22,2,1,1,184040,20
11,44,1,1,20,1,6,1,120,21
11,39,4,1,22,2,1,2,112000,15
11,50,1,1,23,1,1,1,95000,16
11,16,1,5,14,1,6,2,0,14
11,5,1,5,2,1,NA,2,NA,13
11,39,1,3,19,2,6,2,14800,18
11,17,1,5,13,2,1,2,700,17
11,14,1,5,11,1,NA,2,NA,18
11,11,1,5,8,1,NA,2,NA,18
11,5,1,5,1,1,NA,2,NA,17
11,3,1,5,1,1,NA,2,NA,25
11,1,1,5,NA,2,NA,2,NA,23
11,71,1,2,16,2,6,2,30000,11
11,20,1,5,18,1,1,2,10600,19
11,56,1,3,13,2,6,2,11800,15
11,55,1,3,22,1,1,2,110000,17
11,58,1,3,16,1,6,2,5850,11
11,56,1,1,22,2,1,1,293280,14
11,56,1,1,21,1,1,1,170280,18
11,33,1,5,22,1,1,1,60500,20
11,19,1,5,19,2,6,1,0,24
11,35,5,3,1,2,6,1,0,52
11,37,5,5,1,2,1,1,100600,76
11,84,1,3,16,1,6,2,2000,44
11,30,5,5,21,1,1,1,15000,37
11,18,1,5,18,1,6,1,1200,26
11,33,3,1,23,1,1,1,45000,14
11,34,5,1,24,2,1,1,100000,14
11,1,1,5,NA,2,NA,9,NA,9
11,31,1,5,16,2,1,2,13200,25
11,28,1,5,16,2,6,2,3600,24
11,1,1,5,NA,2,NA,2,NA,26
11,90,1,2,16,2,6,2,15900,16
11,37,1,3,19,1,1,2,104000,11
11,61,1,5,12,2,1,2,33000,32
11,44,1,5,21,2,1,9,28000,18
11,52,1,5,19,2,1,1,33000,23
11,35,5,1,24,1,1,1,42500,20
11,32,5,1,24,2,1,1,43120,12
11,42,1,5,22,2,1,2,93200,19
11,56,1,2,16,2,6,2,14400,13
11,17,1,5,14,2,1,2,1000,11
11,34,1,5,19,2,1,2,30000,39
11,29,1,5,21,1,1,1,104500,10
11,25,1,5,21,1,1,1,79000,14
11,25,1,5,21,1,1,1,79000,14
11,28,1,1,21,1,1,1,2850,13
11,34,1,1,23,2,1,1,105750,20
11,23,1,5,21,1,1,1,31200,12
11,21,1,5,19,2,1,1,6000,12
11,19,1,5,16,1,6,1,0,21
11,32,1,4,16,2,1,2,42000,28
11,16,1,5,12,2,6,2,0,23
11,13,1,5,10,2,NA,2,NA,29
11,7,1,5,4,1,NA,2,NA,25
11,74,1,1,13,2,6,2,32800,18
11,77,1,1,12,1,6,2,36100,17
11,22,1,5,21,2,3,1,0,10
11,73,1,3,18,2,1,2,24900,14
11,34,5,1,23,2,1,8,200000,11
11,39,5,1,23,1,1,8,130000,19
11,4,1,5,2,1,NA,8,NA,36
11,2,1,5,NA,1,NA,8,NA,36
11,65,5,3,15,2,1,8,14000,24
11,26,5,5,10,1,1,1,13000,41
11,44,1,1,22,2,1,1,6000,10
11,51,1,1,24,1,1,1,143000,13
11,4,1,5,2,1,NA,1,NA,11
11,20,1,5,19,1,6,9,0,21
11,51,1,2,16,2,6,2,0,28
11,27,1,5,12,1,1,2,38000,46
11,52,5,1,24,1,1,1,155000,24
11,30,1,5,21,1,1,1,37000,18
11,58,1,5,21,1,1,2,20000,16
11,63,1,1,22,2,6,1,16000,20
11,68,1,1,23,1,1,1,125000,26
11,33,1,1,21,1,1,8,34200,21
11,32,1,1,22,2,1,2,62000,20
11,2,1,5,NA,2,NA,9,NA,21
