"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
10,52,1,3,20,2,1,1,108000,28
10,12,1,5,9,1,NA,1,NA,34
10,62,1,2,19,2,6,1,10200,48
10,70,1,1,22,1,6,1,41440,19
10,69,1,1,19,2,6,1,25300,18
10,53,1,1,16,1,1,1,78050,5
10,51,1,1,19,2,3,1,9900,5
10,33,1,5,22,2,1,2,31200,22
10,43,1,1,16,1,1,1,76000,29
10,37,1,1,19,2,1,1,34000,32
10,19,1,5,19,2,1,1,5700,30
10,76,1,3,16,2,6,1,20000,3
10,68,1,2,22,2,6,1,40800,3
10,28,1,3,16,2,3,1,2600,20
10,6,1,5,1,1,NA,1,NA,30
10,3,1,5,1,2,NA,1,NA,29
10,0,1,5,NA,2,NA,1,NA,30
10,24,1,5,1,1,1,1,5000,20
10,60,1,1,18,2,1,1,60000,8
10,61,1,1,21,1,1,1,75000,8
10,76,1,1,16,1,6,1,16560,17
10,65,1,1,21,2,6,1,38000,11
10,74,1,2,1,2,6,1,65700,24
10,67,1,1,16,2,6,1,7000,12
10,64,1,1,16,1,6,1,8400,14
10,56,1,1,18,1,1,1,30300,15
10,54,1,1,16,2,1,1,7000,15
10,26,1,5,19,2,1,2,29600,62
10,7,1,5,3,1,NA,2,NA,83
10,73,1,1,22,1,6,1,60080,14
10,69,1,1,17,2,6,1,20180,13
10,91,1,2,16,2,6,2,1000,21
10,51,1,1,16,1,1,1,26000,30
10,43,1,1,16,2,1,1,33000,27
10,26,1,5,19,1,1,1,33000,35
10,49,1,1,18,1,1,2,42800,16
10,56,1,1,16,2,6,2,0,18
10,64,1,2,17,2,6,2,900,17
10,58,1,3,16,1,3,2,8000,11
10,84,1,2,11,2,6,1,14000,19
10,52,1,5,22,2,1,1,62600,5
10,57,1,1,21,1,1,1,125300,21
10,56,1,1,21,2,6,1,0,19
10,70,1,1,22,1,6,1,48900,4
10,71,1,1,21,2,6,1,3600,4
10,44,1,1,16,1,6,2,13800,65
10,48,1,5,18,2,1,1,52000,6
10,52,1,5,21,1,1,1,95000,26
10,70,1,1,24,2,6,1,7800,4
10,86,1,2,10,2,6,1,7600,16
10,62,1,1,19,2,1,2,38000,27
10,63,1,1,19,1,1,2,120000,44
10,50,1,1,16,1,1,1,120100,13
10,48,1,1,20,2,1,1,68000,15
10,72,2,1,1,1,6,1,8400,22
10,63,1,1,1,2,1,1,2000,17
10,86,1,2,17,1,1,2,16500,16
10,70,1,1,18,1,6,1,16500,16
10,68,1,1,19,2,6,1,34600,15
10,91,1,2,21,2,6,1,9000,5
10,58,1,3,19,1,1,1,7800,6
10,62,1,3,21,2,2,1,51000,17
10,32,1,5,20,2,1,1,60000,12
10,60,1,1,21,1,6,1,174000,15
10,58,1,1,19,2,6,1,4000,13
10,33,1,1,13,1,6,2,25000,17
10,82,1,1,12,1,6,1,20300,17
10,76,1,1,16,2,6,1,5600,16
10,25,1,5,14,1,6,1,18000,15
10,55,1,3,20,1,2,1,54200,5
10,25,1,5,16,1,1,1,28800,20
10,20,1,5,12,2,1,1,9600,19
10,51,1,3,20,2,1,1,103000,26
10,54,1,1,19,1,1,6,42300,3
10,51,1,1,16,2,1,1,32000,2
10,28,1,5,19,2,1,9,13800,2
10,19,1,5,17,1,1,9,8000,3
10,78,1,2,19,2,6,1,20000,4
10,75,1,1,22,1,6,1,50200,20
10,71,1,1,16,2,6,1,11500,13
10,48,1,1,16,1,1,1,50000,12
10,52,1,1,18,2,1,1,5000,12
10,76,1,1,16,1,6,1,24500,14
10,73,1,1,16,2,6,1,5200,17
10,34,5,1,21,1,6,6,50000,9
10,31,5,1,21,2,6,6,0,11
10,5,1,5,2,1,NA,6,NA,18
10,0,1,5,NA,1,NA,6,NA,15
10,50,4,2,21,2,1,6,334000,19
10,46,1,3,18,2,1,1,45000,19
10,23,3,1,19,2,1,1,21000,20
10,2,1,5,NA,2,NA,1,NA,14
10,0,1,5,NA,1,NA,1,NA,18
10,74,2,5,1,1,6,1,7900,24
10,57,1,1,23,1,1,1,459000,4
10,51,1,1,23,2,1,1,50000,4
10,73,1,2,16,2,2,1,35900,16
10,41,1,3,16,1,3,1,9900,24
10,29,1,1,21,1,1,1,65600,12
10,28,1,1,22,2,1,1,29000,15
10,0,1,5,NA,2,NA,1,NA,16
10,85,1,2,20,2,6,1,12800,18
10,70,1,1,14,2,6,2,0,19
10,78,1,1,12,1,6,2,13200,15
10,71,1,1,21,2,6,1,26900,4
10,79,1,1,21,1,6,1,30620,6
10,68,1,1,21,1,6,2,32500,23
