"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
19,65,1,1,21,2,1,1,30300,18
19,62,1,1,16,1,1,1,42600,25
19,42,1,1,21,1,1,1,86000,7
19,41,1,1,21,2,1,1,26000,6
19,11,1,5,7,1,NA,1,NA,6
19,5,1,5,2,2,NA,9,NA,8
19,2,1,5,NA,2,NA,9,NA,4
19,44,1,5,16,1,1,1,24000,21
19,6,1,5,3,1,NA,1,NA,21
19,15,1,5,11,2,NA,1,0,17
19,12,1,5,8,1,NA,1,NA,21
19,40,1,3,16,2,3,1,3500,17
19,77,1,2,20,2,6,1,159000,23
19,46,1,1,19,2,1,1,27700,8
19,46,1,1,16,1,1,1,49150,15
19,79,1,2,21,2,6,1,31600,20
19,79,1,2,11,2,6,1,7000,21
19,53,1,5,16,1,1,1,76500,20
19,46,1,5,18,2,1,1,33430,16
19,68,1,1,11,1,6,1,35300,5
19,65,1,1,16,2,6,1,39900,5
19,53,1,1,16,1,1,1,46000,14
19,46,1,1,16,2,6,1,8900,20
19,42,1,1,20,1,1,1,60040,36
19,42,1,1,21,2,1,1,34040,37
19,12,1,5,9,2,NA,1,NA,30
19,11,1,5,7,2,NA,1,NA,30
19,67,1,1,16,1,1,1,10000,32
19,65,1,1,16,2,6,1,1300,38
19,54,1,1,16,1,1,1,90000,5
19,52,1,1,19,2,1,1,37000,7
19,23,1,5,18,1,1,1,2500,3
19,20,1,5,20,1,2,1,13000,3
19,86,1,2,16,2,6,1,12000,9
19,37,1,1,16,1,1,1,30000,6
19,36,1,1,16,2,1,1,20300,5
19,15,1,5,12,1,NA,1,590,7
19,14,1,5,11,1,NA,1,NA,5
19,52,1,1,18,1,1,1,92400,11
19,51,1,1,16,2,6,1,60000,16
19,24,1,1,20,2,2,1,6000,24
19,2,1,5,NA,1,NA,1,NA,30
19,23,1,1,16,1,3,1,12000,8
19,70,1,1,16,1,1,1,56800,6
19,69,1,1,19,2,6,1,7200,5
19,49,1,1,19,2,1,1,34000,9
19,59,1,1,20,1,1,1,63000,9
19,69,1,1,16,1,1,1,35000,19
19,68,1,1,16,2,6,1,7000,14
19,46,1,5,16,1,3,1,0,14
19,39,1,5,21,1,1,1,23000,18
19,50,1,5,19,1,1,1,15000,3
19,29,1,5,18,2,1,1,10200,5
19,7,1,5,4,2,NA,1,NA,6
19,29,1,5,19,2,1,1,24500,5
19,54,1,1,17,1,1,1,15000,4
19,48,1,1,20,2,1,1,19100,4
19,86,1,2,16,1,6,1,14400,14
19,41,1,1,16,2,1,1,10330,28
19,41,5,1,16,1,1,8,2900,36
19,13,3,5,10,1,NA,1,NA,18
19,8,1,5,4,1,NA,1,NA,18
19,72,1,2,16,2,6,1,24300,7
19,38,1,4,18,2,1,1,61000,21
19,8,1,5,5,1,NA,1,NA,20
19,6,1,5,3,2,NA,1,NA,17
19,29,1,1,21,1,1,1,57000,23
19,32,1,1,19,2,6,1,0,10
19,11,1,5,8,2,NA,1,NA,21
19,9,1,5,5,1,NA,1,NA,20
19,6,1,5,3,2,NA,1,NA,21
19,0,1,5,NA,2,NA,1,NA,15
19,46,1,3,16,1,1,1,65000,5
19,67,1,1,23,1,6,1,87200,17
19,64,1,1,22,2,6,1,9000,12
19,37,1,5,22,2,1,1,45200,13
19,19,4,5,19,1,6,1,4000,6
19,55,1,1,16,1,1,1,47100,30
19,47,1,1,21,1,1,1,40050,22
19,50,1,1,20,2,1,1,30000,19
19,49,1,5,19,1,1,1,26410,28
19,42,1,3,19,1,6,2,5200,25
19,73,1,1,12,1,6,1,11900,18
19,71,1,1,16,2,6,1,9200,22
19,68,1,3,20,1,6,1,47300,13
19,47,1,1,21,2,1,1,45380,8
19,49,1,1,21,1,1,1,40500,10
19,48,1,1,17,2,1,1,14000,22
19,55,1,1,12,1,6,1,3630,23
19,28,1,5,16,2,1,1,15020,23
19,30,1,5,19,1,1,1,22000,21
19,30,1,1,21,1,1,1,43030,10
19,23,1,1,19,2,6,1,8050,3
19,54,1,1,16,1,1,1,59000,16
19,52,1,1,17,2,3,9,0,10
19,32,1,5,16,2,1,9,11500,1
19,49,1,4,16,1,1,1,40000,6
19,41,1,1,18,1,1,1,68000,30
19,42,1,1,18,2,1,1,28000,31
19,15,1,5,12,1,NA,1,0,32
19,8,1,5,5,2,NA,1,NA,28
19,56,1,5,16,1,1,1,50000,24
19,22,4,1,18,2,1,1,37000,41
19,27,4,1,11,1,1,1,17600,54
19,4,1,5,1,2,NA,1,NA,40
19,55,1,1,21,1,1,1,30290,22
19,53,1,1,22,2,1,1,70040,22
19,29,1,3,21,2,1,1,45000,48
19,42,1,3,19,1,6,9,2500,87
19,25,1,5,16,2,6,1,9800,70
19,65,1,3,16,1,6,1,35000,5
19,26,1,5,21,2,1,1,29900,16
19,27,1,5,21,1,1,1,34600,25
19,52,1,1,21,1,1,1,31400,72
19,57,1,1,23,2,1,1,215000,64
19,57,1,1,16,1,1,1,59450,2
19,57,1,1,16,2,1,1,33450,2
19,56,1,5,14,1,1,1,16300,5
19,59,1,5,16,1,1,1,17500,20
19,44,1,1,20,1,1,1,50000,22
19,46,1,1,16,2,3,1,19000,13
19,18,1,5,14,2,6,1,960,12
19,81,1,1,13,1,6,1,208200,11
19,77,1,1,16,2,6,1,34400,12
19,35,1,1,16,1,1,1,43000,20
19,33,1,1,21,2,1,1,45020,28
19,55,1,1,22,1,1,1,11200,21
19,56,1,1,21,2,1,1,22900,23
19,37,1,1,17,1,6,1,5500,14
19,5,1,5,2,1,NA,1,NA,23
19,84,1,2,19,1,6,1,16000,9
19,24,1,1,13,2,6,1,5500,10
19,60,1,4,21,1,1,1,37000,13
19,64,1,2,16,1,1,1,40000,15
19,54,1,1,16,2,6,1,10900,3
19,59,1,1,19,1,2,1,29000,3
19,70,1,1,14,1,6,1,13700,27
19,67,1,1,14,2,6,1,5400,28
19,67,1,1,14,1,1,1,35400,6
19,68,1,1,15,2,1,1,31200,6
19,29,1,1,20,1,1,1,42000,37
19,28,1,1,21,2,1,1,33000,19
19,83,1,2,16,2,6,1,12100,12
19,61,1,1,21,1,1,1,42000,9
19,55,1,1,21,2,1,1,15100,8
19,17,1,5,14,2,3,1,300,16
19,51,1,3,21,1,1,1,64000,4
19,90,1,2,16,2,6,1,7300,13
19,42,1,1,22,2,1,1,40000,20
19,45,1,1,21,1,1,1,312400,21
19,12,1,5,9,2,NA,1,NA,16
19,8,1,5,5,1,NA,1,NA,16
19,32,1,1,22,2,1,1,24000,20
19,33,1,1,21,1,1,1,32000,26
19,3,1,5,1,2,NA,1,NA,30
19,18,1,5,16,1,6,1,4000,21
19,44,1,1,16,1,1,1,36000,50
19,38,1,1,16,2,1,1,5920,26
19,17,1,5,14,1,1,1,3600,34
19,15,1,5,12,2,NA,1,0,37
19,49,1,1,19,1,1,1,39010,13
19,48,1,1,16,2,1,1,12000,13
19,61,1,3,11,2,1,1,18300,32
19,66,1,1,18,1,6,1,5400,6
19,66,1,1,20,2,6,1,31500,5
19,61,1,1,16,1,1,1,70000,15
19,50,1,1,16,2,1,1,20000,19
19,83,1,2,14,2,6,1,15200,28
19,76,1,2,16,2,6,1,63400,5
19,25,4,1,20,2,1,1,26150,3
19,29,4,1,9,1,1,1,44000,5
19,2,1,5,NA,2,NA,1,NA,10
19,17,5,5,9,1,6,1,0,11
19,71,1,1,19,1,6,1,14470,18
19,60,1,1,16,2,1,1,39000,24
19,47,1,1,16,2,1,1,52000,26
19,41,1,1,16,1,1,1,90000,23
