"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
16,43,1,1,18,2,1,1,16000,11
16,45,1,1,19,1,1,1,50000,7
16,20,1,5,16,2,1,1,900,2
16,16,1,5,12,2,1,1,3810,8
16,77,1,2,16,2,1,1,20100,15
16,53,1,5,16,1,1,1,12400,30
16,81,1,1,16,1,6,1,32400,16
16,77,1,1,19,2,6,1,2800,7
16,52,1,1,20,2,1,1,90000,4
16,54,1,1,20,1,1,1,35000,4
16,21,1,5,16,1,1,1,25000,44
16,23,1,5,16,1,1,1,28000,80
16,19,1,5,16,1,1,1,25000,108
16,61,1,1,21,1,6,1,72500,13
16,62,1,1,22,2,6,1,5500,12
16,50,1,1,16,1,1,1,38200,18
16,48,1,1,16,2,1,1,2600,26
16,11,1,5,8,1,NA,1,NA,14
16,8,1,5,5,1,NA,1,NA,13
16,7,1,5,4,1,NA,1,NA,13
16,4,1,5,1,2,NA,1,NA,16
16,3,1,5,1,2,NA,1,NA,16
16,41,1,1,16,2,1,1,18000,38
16,42,1,1,16,1,1,1,58000,31
16,18,1,5,16,2,6,1,0,20
16,15,1,5,11,1,NA,1,0,27
16,10,1,5,7,2,NA,1,NA,32
16,38,1,1,16,2,1,1,4500,14
16,44,1,1,21,1,1,1,48000,12
16,12,1,5,8,1,NA,1,NA,11
16,10,1,5,6,2,NA,1,NA,14
16,5,1,5,1,1,NA,1,NA,11
16,43,1,5,16,1,6,1,0,13
16,67,1,1,19,1,1,1,107000,72
16,65,1,1,16,2,6,1,7500,67
16,59,1,1,20,1,3,3,45500,84
16,52,1,1,19,2,6,5,6000,65
16,11,1,5,7,2,NA,3,NA,80
16,10,1,5,5,2,NA,3,NA,79
16,6,1,5,2,1,NA,3,NA,79
16,2,1,5,NA,2,NA,3,NA,61
16,47,1,3,16,1,1,2,61500,34
16,89,1,2,16,1,6,1,38400,22
16,23,1,5,19,1,1,1,24000,66
16,25,1,5,21,2,1,1,50000,77
16,61,1,1,19,1,1,1,51000,3
16,55,1,1,18,2,6,1,0,4
16,57,1,1,19,1,1,1,90000,24
16,57,1,1,16,2,2,7,-1800,22
16,27,1,5,16,2,1,1,16000,82
16,53,1,2,16,2,1,1,15000,77
16,49,1,3,16,1,1,1,26000,77
16,23,1,5,16,1,1,1,28000,67
16,11,1,5,8,1,NA,1,NA,76
16,73,1,1,19,1,6,1,35600,5
16,71,1,1,18,2,6,1,5400,7
16,38,1,1,17,1,1,1,27000,13
16,37,1,1,16,2,1,1,29000,16
16,17,1,5,13,1,6,1,0,12
16,15,1,5,12,1,NA,1,0,12
16,13,1,5,10,2,NA,1,NA,15
16,8,1,5,5,2,NA,1,NA,15
16,45,1,1,21,1,1,1,57000,28
16,42,1,1,21,2,1,1,40000,20
16,19,1,5,18,2,6,1,800,23
16,39,1,1,22,1,1,1,14500,10
16,34,1,1,17,2,6,1,1400,13
16,11,1,5,8,1,NA,1,NA,13
16,8,1,5,5,1,NA,1,NA,13
16,6,1,5,3,1,NA,1,NA,13
16,4,1,5,1,1,NA,1,NA,15
16,28,1,5,14,1,1,1,4000,22
16,59,1,4,16,2,6,9,7600,47
16,41,1,1,21,2,6,1,0,13
16,40,1,1,17,1,1,1,46800,15
16,11,1,5,10,2,NA,1,NA,10
16,8,1,5,5,2,NA,1,NA,10
16,72,1,2,13,2,2,1,15900,6
16,85,1,1,19,1,6,1,141800,13
16,82,1,1,16,2,6,1,11100,9
16,26,1,5,18,2,1,1,12100,11
16,9,1,5,6,1,NA,1,NA,13
16,51,1,2,17,2,1,1,11300,4
16,60,1,1,16,2,1,1,26000,19
16,62,1,1,18,1,6,1,29000,19
16,54,1,1,16,2,1,1,20000,6
16,65,1,1,19,1,6,1,12000,6
16,17,1,5,14,2,1,1,6200,9
16,72,1,2,19,2,6,1,12300,13
16,55,1,3,18,1,1,1,64280,20
