"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
20,69,1,1,16,1,1,1,20800,4
20,65,1,1,19,2,6,1,12800,4
20,61,1,1,22,1,1,1,83200,3
20,55,1,1,21,2,1,1,52000,4
20,94,1,2,6,2,6,1,11900,10
20,75,1,2,21,2,6,1,54900,8
20,19,1,5,19,2,6,1,2000,19
20,49,1,3,16,1,3,9,14370,12
20,16,1,5,13,2,6,9,0,22
20,15,1,5,12,2,NA,9,0,22
20,10,1,5,6,1,NA,9,NA,22
20,9,1,5,5,1,NA,9,NA,22
20,61,1,1,20,1,6,9,17700,11
20,63,1,1,16,2,1,1,33000,23
20,67,1,1,18,1,1,1,45000,21
20,67,1,1,16,2,6,1,10500,19
20,46,1,1,23,2,6,1,0,3
20,43,1,1,18,1,1,1,27000,5
20,47,1,1,20,2,1,1,45400,23
20,31,1,1,21,1,1,1,69000,36
20,30,1,1,20,2,6,1,0,40
20,6,1,5,2,2,NA,1,NA,34
20,3,1,5,1,1,NA,1,NA,33
20,64,1,3,16,2,1,1,24000,5
20,82,1,2,19,2,6,2,10000,16
20,31,1,5,13,2,6,1,5000,26
20,55,1,1,21,1,1,1,27000,14
20,50,1,1,19,2,1,1,21140,18
20,20,1,5,19,1,1,1,3500,9
20,17,1,5,14,1,1,1,2000,17
20,27,5,1,13,2,6,1,190,36
20,27,5,1,11,1,1,1,13800,28
20,7,1,5,3,2,NA,1,NA,13
20,90,1,2,4,1,6,1,27400,13
20,34,1,1,16,2,1,1,15000,5
20,44,1,1,16,1,1,1,70000,5
20,16,1,5,13,1,1,1,1500,5
20,14,1,5,11,1,NA,1,NA,13
20,12,1,5,9,1,NA,1,NA,12
20,34,1,1,21,2,6,1,0,3
20,39,1,1,21,1,1,1,70000,4
20,8,1,5,6,2,NA,1,NA,3
20,6,1,5,4,2,NA,1,NA,3
20,4,1,5,1,2,NA,1,NA,4
20,79,1,2,16,2,6,1,46600,32
20,26,1,1,16,2,1,1,25000,12
20,26,1,1,20,1,1,1,38000,12
20,64,1,1,18,1,1,1,22200,8
20,65,1,1,22,2,1,1,22200,13
20,29,1,1,16,1,1,1,44000,23
20,30,1,1,20,2,1,1,25000,11
20,11,1,5,8,2,NA,1,NA,18
20,8,1,5,5,1,NA,1,NA,16
20,70,1,3,16,1,1,1,93000,12
20,53,1,3,19,1,3,1,37800,20
20,37,1,5,19,2,1,2,41000,16
20,10,1,5,8,2,NA,2,NA,12
20,50,1,3,19,1,1,1,50000,8
20,29,1,1,19,1,1,1,54150,4
20,27,1,1,21,2,1,1,15000,5
20,51,1,1,15,1,1,1,68000,21
20,51,1,1,16,2,1,1,22000,23
20,24,1,5,20,1,1,1,13000,14
20,41,1,5,19,1,1,1,27000,38
20,60,1,3,19,2,1,1,24000,28
20,47,1,3,21,2,1,1,78000,15
20,17,1,5,14,2,1,1,7200,16
20,36,1,1,17,1,1,1,40000,23
20,37,1,1,19,2,1,1,6000,23
20,12,1,5,9,2,NA,1,NA,25
20,8,1,5,5,1,NA,1,NA,24
20,16,1,5,12,2,1,1,200,24
20,55,1,5,19,2,6,1,1200,15
20,74,1,3,16,2,6,1,4800,4
20,21,1,5,19,1,6,1,9300,15
20,51,1,1,16,2,1,1,32000,11
20,55,1,1,21,1,6,1,14290,10
20,23,1,5,16,2,1,1,8000,20
20,67,1,1,16,1,6,1,196600,19
20,66,1,1,16,2,3,1,6000,18
20,47,1,1,20,1,1,1,65000,3
20,48,1,1,19,2,1,1,33000,5
20,12,1,5,8,1,NA,1,NA,4
20,10,1,5,6,1,NA,1,NA,3
20,78,1,1,16,1,6,1,10000,10
20,80,1,1,17,2,6,1,17000,14
20,22,1,1,15,1,6,9,700,22
20,39,4,3,21,2,1,1,32000,16
20,17,1,5,14,2,6,1,0,43
20,16,1,5,12,1,6,1,0,26
20,49,1,3,21,2,1,1,34200,17
20,55,1,1,21,1,1,1,328000,27
20,49,1,1,22,2,6,1,0,28
20,16,1,5,12,2,6,1,150,32
20,72,1,3,11,2,6,1,7600,18
20,82,1,2,19,2,6,1,21200,20
20,20,1,1,13,2,1,1,7000,16
20,21,1,1,12,1,1,1,18000,25
20,3,1,5,1,1,NA,1,NA,14
20,1,1,5,NA,1,NA,1,NA,14
20,57,1,1,15,1,6,1,175000,5
20,56,1,1,16,2,1,1,3000,4
20,25,1,5,11,1,1,1,154000,4
20,56,1,1,16,1,1,1,72000,26
20,55,1,1,16,2,1,1,20000,23
20,56,1,1,19,1,1,1,37000,12
20,49,1,1,16,2,1,1,30700,16
20,28,1,5,21,1,1,1,56000,18
20,27,1,5,19,2,1,1,39800,18
