"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
23,21,1,5,19,2,1,1,3000,17
23,4,1,5,2,2,NA,1,NA,35
23,27,1,5,18,1,1,1,48000,38
23,58,1,2,17,2,1,1,19000,11
23,50,1,1,19,2,1,1,21000,31
23,50,1,1,16,1,1,1,23200,28
23,25,1,5,22,2,1,1,35000,58
23,26,1,1,21,2,1,1,35000,13
23,24,1,1,20,1,1,1,50000,13
23,0,1,5,NA,1,NA,1,NA,11
23,19,1,5,19,2,6,1,4,21
23,29,1,1,21,2,1,1,26100,25
23,30,1,1,19,1,1,1,24000,26
23,30,1,3,16,1,6,1,12000,23
23,43,1,3,16,2,6,1,7600,16
23,69,1,2,18,2,6,1,8400,61
23,44,1,3,21,2,1,1,30030,39
23,58,1,1,21,1,1,1,60000,21
23,55,1,1,16,2,1,1,22000,21
23,78,1,1,19,1,6,1,18000,23
23,72,1,1,18,2,6,1,12000,20
23,44,1,1,19,2,1,1,30600,8
23,42,1,1,16,1,1,1,42000,10
23,9,1,5,5,1,NA,1,NA,7
23,6,1,5,3,2,NA,1,NA,9
23,47,1,3,16,1,1,1,39000,27
23,43,1,3,19,2,1,1,31800,22
23,15,1,5,11,2,NA,1,0,24
23,30,1,5,21,1,1,1,100000,23
23,60,1,1,16,2,1,1,52500,21
23,60,1,1,16,1,1,1,51000,19
23,62,1,1,19,1,1,1,37000,10
23,62,1,1,16,2,6,1,0,9
23,62,1,1,18,2,1,1,30000,5
23,67,4,1,17,1,6,1,15200,5
23,7,1,5,3,2,NA,1,NA,5
23,62,1,1,16,1,3,1,25000,8
23,12,1,5,9,1,NA,9,NA,24
23,45,1,3,18,2,1,3,20260,8
23,60,1,1,20,1,1,1,63000,4
23,61,1,1,20,2,1,1,11500,5
23,48,1,3,16,2,6,1,14000,9
23,53,1,5,24,2,1,1,135500,26
23,55,1,1,16,2,1,1,14000,10
23,58,1,1,16,1,1,1,40000,12
23,51,1,1,21,2,6,9,20590,7
23,54,1,1,19,1,1,1,21000,39
23,83,1,1,21,1,6,1,27170,4
23,83,1,1,22,2,6,1,24000,4
23,25,1,5,22,2,1,1,50000,3
23,24,1,5,16,1,1,1,20000,5
23,61,1,1,21,1,1,1,292000,32
23,47,1,1,18,2,1,1,25000,32
23,34,1,1,16,2,2,1,13000,33
23,33,1,1,19,1,2,1,70000,24
23,9,1,5,6,1,NA,1,NA,28
23,7,1,5,4,1,NA,1,NA,28
23,4,1,5,2,2,NA,1,NA,38
23,74,1,3,14,2,6,1,10800,15
23,60,1,1,19,1,1,1,55900,9
23,56,1,1,21,2,6,1,0,11
23,25,1,5,19,1,6,1,0,24
23,49,1,1,12,1,6,1,27100,13
23,42,1,1,20,2,1,1,60000,9
23,18,1,5,14,1,1,5,16300,10
23,16,1,5,12,1,6,5,13300,13
23,84,1,1,21,1,6,1,51500,22
23,78,1,1,20,2,1,1,26900,21
23,32,1,5,16,1,1,1,51600,23
23,2,1,5,NA,1,NA,1,NA,27
23,30,1,5,16,2,1,1,20000,30
23,84,1,2,24,2,6,1,9040,4
23,69,1,1,21,1,6,1,24000,3
23,64,1,1,18,2,6,1,3600,3
23,64,1,1,16,2,6,1,8400,22
23,73,1,1,17,1,6,1,25280,18
23,59,1,1,16,1,1,1,51400,6
23,60,1,1,18,2,1,1,15600,7
23,38,1,3,21,2,1,1,52000,10
23,11,1,5,8,2,NA,1,NA,8
23,8,1,5,5,1,NA,1,NA,10
23,33,1,5,20,1,1,1,4000,8
23,58,1,3,19,1,6,1,30000,7
23,34,1,1,19,2,1,1,12700,10
23,11,1,5,7,1,NA,1,NA,10
23,9,1,5,6,1,NA,1,NA,10
23,56,1,1,17,1,1,1,28500,23
23,49,1,1,16,2,6,1,0,22
23,25,1,5,21,2,1,1,16530,21
23,23,1,5,21,2,1,1,4500,16
23,85,1,2,1,2,6,1,22000,27
23,23,1,5,16,2,6,1,16400,26
23,2,1,5,NA,1,NA,1,NA,25
23,0,1,5,NA,1,NA,1,NA,24
23,27,1,5,16,1,3,1,28800,38
23,62,1,4,14,2,1,1,15100,12
23,63,1,2,18,2,1,1,33100,12
23,53,1,3,20,2,1,1,11000,44
23,42,1,5,17,1,1,1,21000,36
23,47,1,1,18,2,1,1,31400,6
23,51,1,1,16,1,1,1,36000,9
23,37,5,5,16,1,6,1,18000,19
23,41,1,1,17,2,1,1,9000,6
23,42,1,1,16,1,1,1,25000,6
23,13,1,5,10,1,NA,1,NA,6
23,71,1,4,16,1,6,1,7800,5
23,45,1,5,16,1,1,1,28400,30
23,57,1,1,16,1,1,1,53000,92
23,46,1,1,20,2,1,1,6000,61
23,16,1,5,12,2,1,1,400,81
23,61,1,3,21,1,1,1,18200,12
23,60,1,3,16,2,1,1,75400,11
23,44,1,1,16,1,1,1,53000,25
23,41,1,1,20,2,1,1,49000,21
23,20,1,5,18,1,3,1,19000,37
23,8,1,5,5,1,NA,1,NA,32
23,5,1,5,2,2,NA,1,NA,20
23,49,1,1,19,2,1,1,30000,30
23,45,1,1,19,1,1,1,70000,26
23,12,1,5,9,1,NA,1,NA,41
23,11,1,5,7,1,NA,1,NA,41
23,81,1,2,16,2,6,1,17450,59
23,64,1,1,19,1,1,1,37600,9
23,64,1,1,13,2,1,1,19500,10
23,46,1,1,19,1,1,1,40000,8
23,50,1,1,16,2,1,1,10000,10
23,45,1,5,16,2,3,1,3800,33
23,16,1,5,14,2,3,1,1100,31
23,45,1,1,18,1,1,1,50000,29
23,45,1,1,16,2,1,1,35000,23
23,21,1,5,19,2,1,1,16000,27
23,18,1,5,16,2,1,1,6000,30
23,31,1,3,20,2,1,1,26100,33
23,13,1,5,11,2,NA,1,NA,31
23,41,1,3,19,1,6,1,10300,26
23,16,1,5,13,2,6,1,0,28
23,64,1,3,18,2,6,1,9600,9
23,34,1,5,14,1,3,9,2000,20
23,20,1,5,19,2,6,9,600,19
23,74,1,1,16,1,6,1,14400,9
23,74,1,1,16,2,6,1,6700,7
23,66,1,1,22,2,6,1,52000,7
23,66,1,1,21,1,1,1,20000,7
23,56,4,1,21,2,1,1,50000,6
23,59,1,1,21,1,1,1,100000,6
23,29,1,5,16,2,6,1,0,17
23,3,1,5,1,1,NA,1,NA,18
23,0,1,5,NA,1,NA,1,NA,19
23,33,1,5,19,1,1,1,30000,20
23,42,1,3,16,1,1,1,13000,8
23,71,1,2,11,1,6,1,12700,9
23,28,1,1,19,2,3,1,3000,11
23,28,1,1,16,1,1,1,30000,12
23,8,1,5,3,1,NA,1,NA,9
23,7,1,5,3,1,NA,1,NA,9
23,60,1,3,21,2,1,1,80000,23
23,50,1,5,22,2,1,1,56000,8
23,94,1,2,16,2,6,1,12200,10
23,41,1,1,19,2,1,1,27000,7
23,52,1,1,16,1,3,1,12000,7
23,19,1,5,18,2,1,1,4000,6
23,16,1,5,13,1,6,1,0,11
23,29,1,1,20,2,1,1,30000,20
23,38,1,1,16,1,1,1,62000,25
23,11,1,5,8,1,NA,1,NA,27
23,8,1,5,5,1,NA,1,NA,27
23,39,1,1,21,2,6,1,1000,26
