"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
28,31,1,5,20,2,1,2,16200,6
28,4,1,5,2,1,NA,2,NA,8
28,1,1,5,NA,1,NA,2,NA,9
28,37,1,5,19,2,1,2,11100,8
28,37,5,1,22,1,1,6,3200,9
28,31,5,1,22,2,1,6,13300,16
28,46,1,1,19,1,1,1,143700,18
28,43,1,1,20,2,1,1,44900,17
28,18,1,5,16,2,6,1,200,15
28,13,1,5,10,1,NA,1,NA,17
28,79,1,1,13,1,6,1,69300,9
28,70,1,1,17,2,6,1,2000,5
28,71,1,1,22,1,1,1,67500,9
28,70,1,1,21,2,1,1,20100,7
28,59,1,3,17,1,2,1,49000,12
28,28,1,5,16,2,1,2,12300,52
28,7,1,5,4,2,NA,2,NA,42
28,6,1,5,2,2,NA,2,NA,42
28,55,1,3,18,2,1,1,40000,6
28,77,1,1,19,1,6,1,8400,27
28,73,1,1,16,2,6,1,6000,20
28,48,1,1,16,1,1,1,35000,11
28,44,1,1,19,2,1,1,18000,9
28,17,1,5,16,2,1,1,14900,14
28,16,1,5,13,2,6,1,0,14
28,15,1,5,12,1,NA,1,0,11
28,14,1,5,9,1,NA,1,NA,10
28,12,1,5,10,2,NA,1,NA,10
28,11,1,5,5,1,NA,1,NA,10
28,9,1,5,8,2,NA,1,NA,10
28,9,1,5,8,1,NA,1,NA,10
28,49,1,5,22,2,1,2,72000,22
28,21,1,5,17,1,6,2,12000,31
28,34,1,5,12,1,6,2,0,17
28,34,1,1,21,1,1,2,60000,21
28,40,1,1,21,2,1,2,29000,12
28,6,1,5,2,1,NA,2,NA,14
28,3,1,5,1,2,NA,2,NA,18
28,64,1,1,16,1,6,1,37000,34
28,60,1,1,16,2,6,1,0,22
28,73,1,2,8,2,6,2,12300,25
28,18,1,5,13,2,6,2,0,20
28,16,1,1,13,1,6,2,0,10
28,15,1,5,11,2,NA,2,0,12
28,42,1,3,21,1,6,2,0,26
28,37,1,5,20,2,1,2,32400,18
28,84,1,3,16,2,6,1,25800,15
28,34,3,1,21,1,1,1,46000,13
28,33,1,1,23,2,2,1,140000,11
28,2,1,5,NA,1,NA,1,NA,15
28,44,1,1,16,1,1,1,38000,18
