"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
30,55,1,3,20,2,1,1,40400,20
30,54,1,5,21,2,6,1,21600,10
30,25,1,5,19,1,6,1,26200,105
30,21,1,5,19,2,1,1,22000,97
30,36,1,1,16,1,1,1,52000,8
30,32,1,1,20,2,1,1,33000,7
30,10,1,5,7,2,NA,1,NA,6
30,46,1,1,16,1,1,1,239500,6
30,46,1,1,22,2,2,1,24000,5
30,10,1,5,7,1,NA,1,NA,7
30,7,1,5,4,2,NA,1,NA,5
30,4,1,5,1,2,NA,1,NA,4
30,48,1,3,16,2,1,1,50000,19
30,35,1,5,16,2,1,1,30000,28
30,57,1,1,22,1,1,1,19000,25
30,58,1,1,22,2,1,1,40000,21
30,60,1,1,19,1,6,1,30400,5
30,59,1,1,18,2,6,1,8000,4
30,28,1,5,20,2,1,1,4840,38
30,8,1,5,5,2,NA,9,NA,13
30,2,1,5,NA,1,NA,9,NA,8
30,56,1,1,21,1,1,1,54400,21
30,56,1,1,21,2,1,1,61040,20
30,40,1,1,20,1,1,1,70000,5
30,38,1,1,17,2,1,1,4000,5
30,9,1,5,5,1,NA,1,NA,5
30,6,1,5,3,1,NA,1,NA,4
30,5,1,5,2,1,NA,1,NA,5
30,49,1,1,19,2,1,1,40000,17
30,46,1,1,21,1,1,1,75000,13
30,8,1,5,5,2,NA,1,NA,9
30,60,1,1,21,1,1,1,131500,10
30,59,1,1,19,2,1,1,20000,8
30,74,1,1,18,1,1,1,32800,29
30,71,1,1,19,2,6,1,21100,37
30,31,1,2,16,1,2,1,65000,30
30,46,1,1,16,2,1,1,19500,7
30,49,1,1,19,1,1,1,28800,8
30,68,1,1,16,2,6,1,30000,7
30,71,1,1,19,1,6,1,20900,5
30,51,1,5,19,1,1,1,24000,22
30,54,1,5,22,1,1,1,18000,27
30,41,1,1,22,2,2,1,54000,22
30,40,1,1,20,1,1,1,43600,20
30,0,1,5,NA,2,NA,1,NA,21
30,58,1,1,20,1,1,1,185040,15
