"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
44,54,1,1,13,2,1,1,12000,12
44,60,1,1,16,1,1,1,35000,13
44,75,4,3,19,1,6,1,14200,50
44,41,1,1,23,1,1,1,100000,10
44,40,1,1,21,2,1,1,10000,13
44,13,1,5,10,1,NA,1,NA,13
44,10,1,5,7,2,NA,1,NA,13
44,73,4,2,16,2,6,1,8900,19
44,42,1,1,21,1,1,1,125000,14
44,42,1,1,20,2,1,1,10000,15
44,9,1,5,5,1,NA,1,NA,16
44,54,1,5,22,1,3,6,20000,23
44,42,1,1,14,2,1,1,33000,31
44,45,1,1,19,1,1,1,35000,37
44,19,1,5,16,2,1,1,15000,25
44,17,1,5,13,1,6,1,0,34
44,67,1,3,13,2,6,1,2800,16
44,87,4,2,13,2,6,1,21604,11
44,73,1,1,12,1,6,1,32400,14
44,69,1,1,12,2,6,1,4800,17
44,41,1,1,21,2,6,1,1100,16
44,55,1,1,22,1,1,1,209720,14
44,74,1,1,17,1,6,1,21900,14
44,77,1,1,16,2,6,1,7900,10
44,77,1,2,21,2,6,1,28500,21
44,28,1,1,21,2,1,1,43700,15
44,42,1,1,21,1,3,1,30000,14
44,53,4,1,22,1,1,1,30000,15
44,53,1,1,16,2,1,1,16400,12
44,56,1,1,16,1,1,1,43300,14
44,46,1,1,19,2,1,1,33300,14
44,19,1,5,19,2,1,1,10800,11
44,38,4,1,19,1,1,8,45000,53
44,28,2,1,19,2,6,8,0,29
44,32,1,3,19,2,1,2,32000,26
44,14,1,5,10,2,NA,2,NA,32
44,10,1,5,7,2,NA,2,NA,33
44,33,1,3,20,1,1,2,40000,59
44,32,1,1,21,1,1,1,50000,17
44,29,1,1,21,2,6,1,3400,20
44,1,1,5,NA,2,NA,1,NA,18
44,64,1,3,22,2,6,1,9600,14
44,58,4,1,1,1,1,1,30000,17
44,51,4,1,17,2,1,1,41000,15
44,28,1,5,21,2,1,1,18000,31
44,27,1,5,16,1,1,1,43000,16
44,40,3,5,23,1,1,1,313000,22
44,56,1,5,23,1,6,1,208000,21
44,58,1,1,20,1,1,1,58000,12
44,47,1,1,16,1,1,1,47000,17
44,47,1,1,16,2,1,1,9400,18
44,18,1,5,16,2,1,1,9000,12
44,9,1,5,6,1,NA,1,NA,19
44,52,1,1,21,1,1,1,107000,12
44,52,1,1,20,2,1,1,84000,11
44,18,1,5,14,2,1,1,2000,10
44,70,1,5,22,2,6,1,61200,12
44,65,1,5,22,2,6,1,41230,15
44,22,1,5,19,2,1,1,20000,17
44,2,1,5,NA,2,NA,1,NA,14
44,22,1,5,17,2,1,1,25000,16
44,25,1,5,19,1,1,1,42010,16
44,66,1,3,12,2,6,1,13200,36
44,64,1,5,16,2,6,1,40400,19
44,61,1,3,16,2,1,1,58000,12
44,83,1,2,16,2,6,1,10200,16
44,39,1,5,19,2,1,1,50000,53
44,22,1,5,21,1,1,1,50200,23
44,94,1,2,12,1,6,1,11000,12
44,39,1,1,22,1,1,1,50000,12
44,33,3,1,22,2,1,1,60000,14
44,2,1,5,NA,1,NA,1,NA,13
44,63,1,5,16,1,6,1,47200,14
44,94,1,1,16,1,6,1,21870,14
44,83,1,1,16,2,6,1,27800,14
44,43,1,1,21,1,1,1,96030,13
44,44,1,1,16,2,1,1,41504,11
44,9,1,5,6,2,NA,1,NA,12
44,5,1,5,2,2,NA,1,NA,12
44,85,1,1,16,1,6,1,69700,14
44,85,1,1,16,2,6,1,5400,17
44,59,1,1,21,1,1,1,358000,16
44,60,1,1,21,2,6,1,60000,16
44,20,1,5,16,2,1,1,10000,20
44,20,1,5,19,2,1,1,2700,23
44,65,1,1,22,1,6,1,48600,12
44,64,1,1,19,2,6,1,9210,11
44,62,1,5,24,1,1,1,86000,15
44,39,1,3,19,1,1,1,293000,14
44,53,4,1,19,1,1,1,30000,20
44,51,4,1,20,2,1,1,46000,15
44,82,5,3,1,2,6,1,4500,28
44,44,1,3,22,2,1,1,60100,11
44,9,1,5,6,1,NA,1,NA,14
44,41,1,1,20,2,6,1,16800,21
44,40,1,1,20,1,1,1,46800,18
44,13,1,5,10,2,NA,1,NA,23
44,11,1,5,8,2,NA,1,NA,23
44,43,1,1,21,1,1,1,44000,12
44,46,1,1,16,2,3,1,12000,10
44,5,1,5,2,2,NA,1,NA,11
44,5,1,5,2,2,NA,1,NA,10
44,20,1,5,16,2,3,1,13400,13
44,53,1,1,22,1,1,1,22000,22
44,52,1,1,22,2,1,1,30000,19
44,56,1,1,21,1,1,1,120000,7
44,41,1,1,22,2,6,1,0,7
44,11,1,5,8,1,NA,1,NA,7
44,10,1,5,7,2,NA,1,NA,8
44,56,1,5,16,1,1,1,45600,11
44,51,1,3,21,1,1,1,5300,14
44,77,1,1,22,2,6,1,8400,14
44,75,1,1,21,1,1,1,141100,14
44,94,1,3,16,2,6,1,15300,12
44,47,3,1,22,1,1,1,105400,12
44,50,1,1,21,2,1,1,12300,13
44,11,1,5,8,1,NA,1,NA,13
44,20,1,5,16,1,6,2,3000,15
44,41,5,3,14,2,3,8,13300,35
44,21,5,5,13,2,3,8,14800,48
44,19,5,5,12,2,3,8,1600,32
44,3,1,5,1,2,NA,8,NA,33
44,3,1,5,1,1,NA,8,NA,39
44,30,1,1,18,2,1,1,5700,17
44,29,1,1,15,1,1,1,29400,11
44,5,1,5,2,1,NA,1,NA,19
44,3,1,5,1,1,NA,1,NA,16
44,64,1,5,11,1,6,1,8600,18
44,62,1,2,16,2,6,1,45900,12
44,27,1,5,21,2,1,1,19000,15
44,31,1,5,16,1,1,1,60000,11
44,19,1,5,19,2,6,1,4100,24
44,43,1,1,16,1,1,1,5200,10
44,38,1,1,20,2,1,1,80000,11
44,19,1,5,16,1,3,1,3000,18
44,49,1,1,20,2,1,1,25800,18
44,53,1,1,16,1,1,1,75000,20
44,15,1,5,12,2,NA,1,0,19
44,43,1,3,22,1,1,1,110500,20
44,52,4,3,9,1,1,1,1000,22
44,0,1,5,NA,1,NA,1,NA,19
44,38,5,5,9,2,6,1,0,16
44,51,4,3,7,2,1,1,28000,14
44,50,1,3,21,2,1,1,46300,12
44,19,1,5,16,1,1,1,3000,9
44,16,1,5,13,1,6,1,0,12
44,60,1,3,16,2,1,1,42200,12
44,51,1,1,21,1,1,1,90000,19
44,51,1,1,22,2,1,1,16000,18
44,21,1,5,19,1,6,1,6000,33
44,18,1,5,18,2,1,1,4000,16
44,50,1,1,18,1,1,2,71000,19
44,56,1,1,21,2,1,2,34000,12
