"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
46,84,1,1,16,1,6,1,8100,3
46,72,1,1,13,2,6,1,4400,4
46,26,1,3,16,1,1,3,11500,9
46,65,1,1,22,1,6,1,59400,5
46,60,1,1,20,2,1,1,28800,8
46,37,1,1,21,2,1,1,20000,17
46,36,1,1,19,1,1,1,35000,19
46,12,1,5,9,2,NA,1,NA,17
46,40,1,1,20,1,1,1,65000,7
46,41,1,1,20,2,1,1,30000,7
46,17,1,5,16,2,1,1,2500,7
46,9,1,5,5,1,NA,1,NA,8
46,63,1,2,16,2,6,1,10800,7
46,94,1,2,18,2,6,1,5500,9
46,42,1,3,21,2,1,1,37000,7
46,15,1,5,12,1,NA,1,0,11
46,30,1,1,16,1,1,1,12000,10
46,32,1,5,20,1,1,1,30000,4
46,44,1,1,19,2,1,1,40000,20
46,45,1,1,23,1,1,1,90000,22
46,23,1,5,21,1,1,1,10000,20
46,18,1,5,16,1,1,1,2000,27
46,15,1,5,12,2,NA,1,200,29
46,76,1,1,11,2,6,1,4500,6
46,76,1,1,11,1,1,1,29200,7
46,56,1,1,19,1,1,1,120000,26
46,62,1,1,22,2,6,1,12000,27
46,38,1,1,18,1,1,1,12000,8
46,30,1,1,16,2,1,1,11000,7
46,0,1,5,NA,2,NA,1,NA,7
46,30,1,1,20,1,1,1,32000,2
46,29,1,1,20,2,1,1,35000,3
46,6,1,5,1,2,NA,1,NA,4
46,5,1,5,1,2,NA,1,NA,3
46,3,1,5,1,1,NA,1,NA,4
46,47,1,2,21,2,1,1,31000,18
46,16,1,5,13,2,6,1,1630,11
46,15,1,5,10,1,NA,1,330,12
46,31,1,1,19,1,1,3,25000,166
46,32,1,1,19,2,1,5,3600,64
46,58,1,1,23,1,1,1,266000,25
46,59,1,1,19,2,1,1,9300,28
46,45,1,3,21,2,1,1,55500,10
46,57,1,1,22,1,1,1,87000,9
46,54,5,1,20,2,6,6,4000,8
46,60,1,1,21,1,1,1,28000,28
46,59,1,1,16,2,6,1,0,27
46,37,1,1,16,1,1,1,54000,26
46,35,1,1,21,2,1,1,50000,25
46,16,1,5,12,2,3,1,0,22
46,14,1,5,11,2,NA,1,NA,20
46,36,1,3,21,2,1,1,9000,6
46,14,1,5,10,2,NA,1,NA,8
46,12,1,5,9,2,NA,1,NA,7
46,71,1,1,16,1,1,1,27050,29
46,65,1,1,16,2,1,1,22840,32
46,39,1,5,18,1,1,1,130200,22
46,18,1,5,14,2,1,1,10000,19
46,17,1,5,13,1,6,1,3000,27
46,37,1,5,15,2,1,1,26000,23
46,55,1,3,20,1,1,1,40000,29
46,51,1,3,23,2,1,1,35000,50
46,50,1,1,18,2,1,1,26000,34
46,54,1,1,16,1,1,1,50000,38
46,26,1,5,16,2,1,1,24500,42
46,83,1,2,19,2,6,1,11800,47
46,51,1,5,16,1,1,1,27200,17
46,20,1,5,19,2,6,1,450,29
46,22,1,5,19,2,2,1,10000,38
46,65,1,1,11,1,1,1,25100,9
46,60,1,1,17,2,3,1,44560,8
46,47,1,3,19,1,6,9,4400,16
46,41,1,2,20,1,1,1,94000,5
46,9,1,5,5,1,NA,1,NA,5
46,6,1,5,1,2,NA,1,NA,6
46,52,1,1,18,1,1,1,11000,27
46,52,1,1,20,2,1,1,27000,28
46,16,1,5,13,2,1,1,1000,17
46,32,1,1,18,2,1,1,8420,8
46,35,1,1,16,1,1,1,28700,10
46,13,1,5,9,1,NA,1,NA,9
46,11,1,5,7,2,NA,1,NA,8
46,6,1,5,3,2,NA,1,NA,8
46,72,1,1,22,1,6,1,35600,27
46,72,1,1,16,2,6,1,55100,21
46,52,1,1,23,1,1,1,51000,33
46,47,1,1,23,2,1,1,52000,30
46,17,1,5,14,1,1,1,2000,36
46,14,1,5,11,2,NA,1,NA,26
46,10,1,5,6,1,NA,1,NA,27
46,49,1,5,16,1,1,1,21000,10
46,69,1,1,16,1,6,1,14400,5
46,67,1,1,16,2,6,1,19300,4
46,51,1,1,19,2,1,1,25000,17
46,65,1,1,6,1,6,1,8400,10
46,22,1,5,12,1,1,1,18800,13
46,47,1,1,23,1,1,1,160000,30
46,46,1,1,21,2,6,1,7000,21
46,10,1,5,8,2,NA,1,NA,29
46,8,1,5,4,1,NA,1,NA,14
46,41,1,5,16,1,1,1,20000,29
46,28,1,1,19,1,1,1,30600,12
46,27,1,1,19,2,1,1,12000,7
46,1,1,5,NA,2,NA,1,NA,7
46,67,1,3,22,2,6,1,40600,8
46,84,1,2,20,2,6,1,10800,14
46,44,1,1,21,1,1,1,65000,26
46,39,1,1,22,2,1,1,125000,27
46,75,1,1,19,2,1,1,10600,24
46,77,1,1,19,1,1,1,79400,22
46,36,1,3,18,2,1,1,26800,21
46,16,1,5,13,2,6,9,1800,19
46,69,1,2,16,2,6,1,23600,20
46,81,1,2,16,2,6,1,17600,3
46,57,1,1,16,2,1,1,10900,12
46,64,1,1,16,1,1,1,76900,14
46,16,1,5,12,1,1,1,630,13
46,14,1,5,12,1,NA,1,NA,12
46,49,1,1,21,1,1,1,66000,4
46,40,1,1,22,2,1,1,39000,5
46,11,1,5,7,1,NA,1,NA,6
46,7,1,5,3,1,NA,1,NA,6
46,58,1,1,19,1,1,1,60020,20
46,57,1,1,16,2,1,1,14000,21
46,59,1,3,18,2,1,1,38000,18
46,44,1,1,16,1,1,1,70000,12
46,43,1,1,20,2,6,1,0,13
46,13,1,5,8,1,NA,1,NA,10
46,53,1,1,18,1,1,1,140000,13
46,53,1,1,19,2,1,3,28000,6
46,61,1,5,17,1,1,1,6000,38
46,77,1,1,16,2,6,1,6000,11
46,83,1,1,14,1,6,1,9000,7
46,19,1,5,19,1,1,1,3000,28
46,50,1,1,18,1,1,3,31040,35
46,44,1,1,17,2,1,1,21500,22
46,14,1,5,11,1,NA,3,NA,21
46,6,1,5,2,2,NA,3,NA,14
46,8,1,5,4,1,NA,3,NA,21
46,7,1,5,4,2,NA,3,NA,14
46,56,1,1,22,1,1,1,50000,34
46,46,1,1,21,2,1,1,28000,17
46,16,1,5,14,2,6,1,350,19
46,14,1,5,12,2,NA,1,NA,18
46,87,1,1,17,1,6,1,8400,11
46,76,1,1,17,2,6,1,6900,12
