"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
49,43,1,1,21,1,1,1,50000,18
49,33,1,1,21,2,1,1,27000,22
49,60,1,1,22,1,1,1,65000,17
49,55,1,1,22,2,4,1,125000,16
49,18,1,5,14,1,1,1,2800,22
49,15,1,5,13,1,NA,1,200,16
49,35,1,1,19,2,1,1,43200,15
49,40,1,1,19,1,1,1,36000,16
49,12,1,5,9,1,NA,1,NA,17
49,11,1,5,8,1,NA,1,NA,16
49,6,1,5,3,2,NA,1,NA,15
49,79,1,1,18,1,6,1,12000,20
49,80,1,1,16,2,6,1,7200,19
49,46,1,1,24,1,1,1,84000,16
49,45,1,1,22,2,1,1,58000,15
49,16,1,5,13,2,6,1,300,15
49,15,1,5,12,2,NA,1,0,15
49,11,3,5,7,2,NA,1,NA,16
49,8,3,5,5,2,NA,1,NA,16
49,39,1,5,16,1,1,1,13400,12
49,43,1,1,20,1,1,1,60000,19
49,46,1,1,20,2,1,1,50000,23
49,10,1,5,7,1,NA,1,NA,32
49,6,1,5,3,1,NA,1,NA,32
49,3,1,5,1,1,NA,1,NA,25
49,52,4,1,20,1,6,1,42000,16
49,50,5,1,20,2,1,1,137000,16
49,15,1,5,12,2,NA,1,0,16
49,29,1,3,16,1,1,1,18000,18
49,59,1,1,18,2,1,1,32000,5
49,60,1,1,14,1,6,1,11600,4
49,49,1,1,18,1,1,1,120000,20
49,45,1,1,18,2,6,1,0,13
49,19,1,5,16,1,1,1,1900,29
49,61,1,3,15,2,6,1,10500,4
49,49,1,1,18,1,1,1,64000,17
49,54,1,1,16,2,1,1,3300,16
49,19,1,5,16,1,1,1,9500,19
49,17,1,5,14,1,6,1,0,17
49,82,1,1,24,1,6,1,60200,5
49,76,1,1,16,2,6,1,6000,4
49,82,1,3,16,1,6,1,12000,33
49,57,1,1,19,1,1,1,42450,13
49,53,1,1,19,2,1,1,20020,13
49,64,1,3,16,2,1,1,34500,21
49,16,1,5,1,1,6,1,4820,21
49,46,1,1,20,1,1,1,35000,23
49,45,1,1,20,2,1,1,34000,26
49,15,1,5,12,1,NA,1,0,19
49,71,1,2,16,2,6,1,21880,19
49,47,1,1,21,2,1,1,5000,19
49,49,1,1,21,1,1,1,81050,18
49,16,1,5,13,2,1,1,840,17
49,12,1,5,9,1,NA,1,NA,17
49,10,1,5,6,2,NA,1,NA,14
49,53,1,3,16,1,1,1,27000,4
49,57,1,1,18,1,1,3,60000,4
49,52,1,1,20,2,6,1,0,3
49,11,1,5,8,2,NA,3,NA,2
49,36,1,1,17,2,1,1,20000,2
49,16,1,5,14,2,6,1,200,2
49,44,1,1,16,1,1,1,11000,2
49,23,1,1,21,1,1,3,11500,8
49,20,1,1,19,2,1,1,13600,15
49,64,1,1,16,2,6,1,6500,5
49,68,1,1,16,1,6,1,1300,5
49,56,1,5,21,1,2,1,5000,16
49,42,1,5,22,2,2,1,11000,18
49,27,1,3,21,2,1,1,7600,14
49,7,1,5,4,2,NA,1,NA,15
49,0,1,5,NA,1,NA,1,NA,15
49,33,1,5,19,1,1,1,18300,18
49,34,1,1,20,1,1,1,100700,20
49,27,1,1,21,2,6,1,0,18
49,3,1,5,2,2,NA,1,NA,17
49,1,1,5,NA,1,NA,1,NA,18
49,30,5,1,16,1,6,1,22000,15
49,53,3,1,19,1,1,9,42000,23
49,46,4,1,16,2,1,9,28000,28
49,25,4,5,16,1,1,8,21000,21
49,20,1,5,16,1,1,8,18000,12
49,58,1,1,21,1,1,1,92000,21
49,56,1,1,20,2,1,1,36000,19
49,71,1,2,16,1,6,1,44600,24
49,64,1,2,16,2,6,1,27650,18
49,9,1,5,6,1,NA,2,NA,17
49,6,1,5,3,2,NA,2,NA,18
49,4,1,5,2,1,NA,2,NA,15
49,49,1,1,16,1,1,1,52000,25
49,52,1,1,16,2,1,1,6300,18
49,20,1,1,16,2,1,1,7000,28
49,17,1,5,16,1,3,1,2200,15
49,15,1,5,13,1,NA,1,0,15
