"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
50,60,1,1,19,1,1,1,22200,7
50,56,1,1,21,2,1,1,26640,7
50,37,1,1,13,1,1,1,17000,45
50,38,1,1,16,2,1,1,30000,50
50,16,1,5,13,1,3,1,1200,54
50,12,1,5,9,2,NA,1,NA,45
50,10,1,5,7,1,NA,1,NA,45
50,84,1,1,20,1,6,1,31500,14
50,83,1,1,19,2,6,1,15550,17
50,49,1,3,17,2,6,1,13200,106
50,16,1,5,13,2,6,1,0,71
50,65,1,3,18,2,1,3,29000,22
50,64,1,3,21,1,1,1,30000,25
50,65,1,1,19,2,1,1,40000,31
50,64,1,1,15,1,6,1,0,42
50,68,1,1,21,1,6,1,44400,40
50,65,1,1,21,2,1,1,47700,30
50,59,1,1,15,1,1,1,45000,8
50,57,1,1,16,2,1,1,4500,7
50,44,1,5,17,1,1,1,43800,8
50,46,1,3,16,2,6,9,10700,15
50,21,1,5,19,1,6,1,3000,27
50,52,1,1,22,1,1,1,93500,34
50,50,1,1,21,2,6,1,66000,36
50,17,1,5,14,1,6,1,13700,25
50,83,1,2,11,2,6,1,24400,33
50,43,1,1,16,2,1,1,55000,28
50,45,1,1,16,1,1,1,46000,23
50,18,1,5,14,1,1,1,10000,26
50,16,1,5,13,2,6,1,0,22
50,15,1,5,12,1,NA,1,0,21
50,15,1,5,12,1,NA,1,0,21
50,32,1,1,21,2,1,1,41000,18
50,44,1,1,20,1,6,1,6000,26
50,4,1,5,1,1,NA,1,NA,22
50,3,1,5,1,1,NA,1,NA,23
50,17,1,5,14,1,1,1,2500,16
50,15,1,5,11,1,NA,1,1100,16
50,59,1,3,22,1,1,1,555000,86
50,50,1,3,21,2,1,1,85000,82
50,18,1,5,16,1,1,1,6000,52
50,17,1,5,14,2,1,1,5000,63
50,38,1,5,15,1,1,1,50000,29
50,7,1,5,4,2,NA,1,NA,21
50,30,1,5,18,2,6,1,4000,34
50,89,1,1,16,2,6,1,46800,40
50,89,1,1,11,1,6,1,30000,39
50,63,1,1,21,2,1,1,22900,9
50,62,1,1,19,1,3,1,9500,10
50,24,1,4,14,2,1,3,5090,10
50,4,1,5,1,2,NA,1,NA,20
50,3,1,5,1,1,NA,3,NA,6
50,22,1,5,21,2,1,1,20000,31
50,47,1,3,18,2,1,1,31200,31
50,20,1,5,16,1,1,1,20000,47
50,6,1,5,3,1,NA,1,NA,28
50,36,1,5,14,1,1,1,50000,67
50,48,1,1,21,2,6,1,0,70
50,55,1,1,21,1,1,1,313000,79
50,15,1,5,11,1,NA,1,0,55
50,12,1,5,9,1,NA,1,NA,65
50,51,1,1,16,2,1,1,20000,5
50,59,1,1,19,1,1,1,20000,7
50,23,1,5,18,2,1,1,14400,15
50,19,1,5,16,2,1,1,27000,18
50,58,1,1,16,1,1,1,28500,55
50,56,1,1,16,2,6,1,7500,40
50,78,1,1,19,1,6,1,22500,31
50,73,1,1,19,2,6,1,7000,34
50,55,1,1,21,1,1,1,54200,32
50,48,1,1,20,2,1,1,34200,15
50,19,1,5,18,2,1,1,380,24
50,51,1,5,16,2,6,1,10900,35
50,15,1,5,12,2,NA,1,3900,20
50,48,3,3,16,1,1,1,26000,57
50,43,1,1,20,1,1,1,72000,49
50,42,1,1,20,2,1,1,29000,45
50,16,1,5,12,1,6,1,0,71
50,12,1,5,9,1,NA,1,NA,32
50,76,4,1,24,1,6,1,15580,5
50,77,4,1,19,2,6,1,30000,6
50,58,1,1,14,2,1,1,18000,6
50,74,1,1,11,1,6,1,7300,11
50,57,1,1,16,1,1,1,52000,10
50,54,1,1,19,2,1,1,24000,6
50,31,1,5,16,1,1,1,28000,4
50,43,1,3,16,2,1,1,21000,34
50,18,1,5,16,1,2,1,16500,42
50,14,1,5,11,1,NA,1,NA,25
50,38,1,3,20,2,1,1,61000,8
50,40,1,3,18,1,1,1,12000,9
50,33,1,5,19,2,1,1,34080,20
50,9,1,5,4,2,NA,1,NA,27
50,39,1,5,21,2,1,1,38000,27
50,56,1,1,16,1,1,1,66000,6
50,54,1,1,19,2,1,1,85000,8
50,28,1,5,16,1,1,1,4000,7
50,48,1,1,22,2,1,1,35260,7
50,47,1,1,22,1,1,1,52000,6
