"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
38,65,1,1,16,1,1,1,1,32900,42
38,60,1,1,17,2,1,1,1,55500,44
38,48,1,1,19,2,1,1,1,50000,6
38,50,1,1,21,1,1,1,1,70000,7
38,39,1,5,20,1,1,3,1,27000,66
38,19,1,5,16,2,2,1,1,6400,12
38,0,1,5,NA,2,NA,1,1,NA,6
38,20,1,5,15,1,1,1,1,7500,14
38,58,1,1,19,2,1,1,1,9600,19
38,59,1,1,16,1,1,1,1,40000,24
38,35,1,5,16,1,1,1,1,32000,44
38,82,1,2,11,2,6,1,1,11300,10
38,20,1,5,19,2,1,1,1,8300,15
38,28,1,1,21,2,1,1,1,65000,24
38,30,1,1,21,1,1,1,1,87700,19
38,73,1,2,12,1,6,1,1,11700,7
38,45,1,3,16,1,1,1,1,30000,29
38,65,1,1,11,1,1,1,1,40000,11
38,57,1,1,16,2,6,1,1,0,8
38,21,1,5,16,2,1,1,1,13000,26
38,64,1,1,13,1,6,1,1,16900,5
38,63,1,1,13,2,1,1,1,15500,4
38,21,1,5,19,2,1,1,1,704,13
38,69,1,1,13,1,6,1,1,10100,8
38,70,1,1,11,2,6,1,1,4000,12
38,35,1,1,22,1,1,1,1,60000,40
38,36,1,1,22,2,1,1,1,45000,43
38,1,1,5,NA,2,NA,1,1,NA,34
38,95,1,2,15,2,6,1,1,51200,9
38,58,1,2,21,1,1,1,1,32700,19
38,15,1,5,12,2,NA,1,1,640,19
38,65,1,1,14,2,6,1,1,0,15
38,72,1,1,16,1,1,1,1,14800,15
38,60,1,1,21,1,1,1,1,30100,25
38,57,1,1,19,2,1,1,1,12200,28
38,71,1,1,11,1,1,1,1,30000,8
38,69,1,1,16,2,6,1,1,30000,10
38,30,5,1,21,2,1,1,1,50000,26
38,32,1,1,21,1,1,1,1,81200,51
38,3,1,5,1,1,NA,1,1,NA,41
38,3,1,5,1,2,NA,1,1,NA,39
38,80,1,1,16,2,6,1,1,1100,4
38,81,1,1,16,1,6,1,1,29850,4
38,60,1,5,21,2,1,1,1,55200,37
38,47,1,1,21,2,1,1,1,80000,31
38,47,1,1,16,1,1,1,1,50000,40
38,82,1,2,14,2,6,1,1,11600,17
38,79,1,1,16,1,6,1,1,15900,25
38,79,1,1,16,2,6,1,1,4300,33
38,50,1,5,16,1,1,1,1,38000,17
38,54,1,3,18,1,1,1,1,80000,11
38,22,1,5,16,1,1,1,1,125000,11
38,49,4,1,1,1,1,1,2,35000,27
38,50,1,1,18,2,1,1,2,10000,27
38,13,1,5,10,1,NA,1,2,NA,17
38,16,1,5,13,1,1,1,2,3000,8
38,14,1,5,11,2,NA,1,2,NA,7
38,9,1,5,5,1,NA,1,2,NA,17
38,7,1,5,3,1,NA,1,2,NA,17
38,1,1,5,NA,1,NA,1,2,NA,17
38,19,1,5,19,2,1,1,1,3200,19
38,19,1,5,16,2,1,1,1,6400,28
38,63,1,1,16,1,1,1,1,48600,6
38,53,1,1,21,2,1,1,1,6800,7
38,23,1,5,21,2,6,1,1,3000,12
38,21,1,5,19,2,6,1,1,2500,12
38,78,1,1,16,2,6,1,1,4800,14
38,89,1,2,16,2,6,1,1,138300,6
38,73,1,1,18,1,6,1,1,35000,7
38,71,1,1,19,2,6,1,1,28000,12
38,95,1,2,11,2,6,1,1,14900,14
38,44,1,1,20,1,6,1,1,0,17
38,42,1,1,20,2,1,1,1,12000,9
38,17,1,5,14,2,6,1,1,0,7
38,9,1,5,5,1,NA,1,1,NA,12
38,31,1,5,20,1,1,1,1,77020,22
38,44,1,1,16,1,1,1,1,14,24
38,44,1,1,16,2,1,1,1,24000,25
38,3,1,5,1,2,NA,1,1,NA,24
38,34,1,1,21,2,1,1,1,15000,21
38,38,1,1,16,1,1,1,1,38000,19
38,52,1,1,19,1,3,1,1,145400,37
38,53,1,1,21,2,1,1,1,44000,45
38,49,1,1,14,2,6,1,1,9400,11
38,50,1,1,17,1,1,1,1,22000,10
38,28,1,5,20,2,1,1,1,10000,10
38,53,1,1,16,2,1,1,1,39500,28
38,58,1,1,13,1,6,1,1,0,35
38,31,5,1,17,2,1,8,2,15000,39
38,34,1,1,12,1,2,8,2,10000,57
38,11,1,5,7,1,NA,8,2,NA,50
38,9,1,5,6,2,NA,8,2,NA,49
38,3,1,5,1,2,NA,8,2,NA,50
38,8,1,5,4,2,NA,8,2,NA,49
38,45,1,5,17,1,1,1,1,18700,23
38,49,1,3,16,2,1,1,1,40000,9
38,12,1,5,9,1,NA,1,1,NA,7
38,50,1,3,19,1,1,1,1,32000,8
38,57,1,1,19,1,1,1,1,56000,7
38,45,1,1,19,2,1,1,1,13000,6
38,16,1,5,12,1,6,1,1,0,11
38,70,1,1,16,1,6,1,1,9600,8
38,65,1,1,16,2,6,1,1,40500,7
38,32,1,5,19,2,1,1,1,60000,14
38,77,1,5,18,1,1,1,1,29800,6
38,80,1,2,12,2,6,1,1,7100,19
38,52,1,1,15,1,1,1,1,69000,27
38,49,1,1,19,2,1,1,1,38000,35
38,19,1,5,14,2,1,1,1,7000,18
38,59,1,3,19,1,6,1,1,8000,5
38,48,1,3,17,2,1,1,1,17000,6
38,50,1,1,18,1,6,1,1,13100,19
38,50,1,1,19,2,1,1,1,30400,18
38,17,1,5,13,2,2,1,1,750,24
38,40,1,5,21,1,1,1,1,38000,47
38,63,1,1,16,1,1,1,1,60000,7
38,59,1,1,17,2,6,1,1,0,8
38,61,1,1,19,1,1,1,1,58800,9
38,59,1,1,16,2,6,1,1,6100,10
38,46,1,1,22,1,4,1,1,91000,30
38,39,1,1,21,2,1,1,1,50000,29
38,16,1,5,14,1,6,1,1,11000,31
38,7,1,5,5,2,NA,1,1,NA,25
38,5,1,5,2,2,NA,1,1,NA,25
38,55,1,1,19,1,1,1,1,29400,25
38,54,1,1,19,2,1,1,1,70000,27
38,58,1,3,19,1,6,3,1,11200,6
38,46,1,3,16,1,1,1,1,32000,34
38,50,1,1,15,1,1,1,1,36000,18
38,50,1,1,21,2,1,1,1,20000,20
38,26,1,5,20,1,1,1,1,20000,24
38,26,1,5,16,2,1,1,1,22000,21
38,58,1,1,22,1,1,1,1,48600,9
38,55,1,1,21,2,1,1,1,62000,10
38,55,1,1,21,1,6,1,1,70000,17
38,49,1,1,16,2,6,1,1,2000,16
38,83,1,3,16,2,6,1,1,8400,4
38,28,1,5,19,2,1,1,1,21000,33
38,32,1,5,21,1,1,1,1,24000,28
38,70,1,2,16,2,6,1,1,33600,10
38,95,1,2,11,2,6,1,1,15600,14
38,58,1,5,16,1,1,1,1,30000,12
38,24,1,5,18,2,1,1,1,19800,21
38,24,1,5,17,1,1,1,1,22000,15
38,20,1,5,18,1,1,9,1,350,18
38,26,1,5,19,1,1,1,1,41600,39
38,42,1,5,17,1,1,1,1,22000,46
38,36,1,1,19,1,1,1,1,47600,42
38,33,1,1,18,2,6,1,1,0,42
38,7,1,5,3,2,NA,1,1,NA,35
38,4,1,5,1,2,NA,1,1,NA,37
38,52,1,1,23,2,1,1,1,110500,6
38,54,1,1,19,1,1,1,1,50000,7
38,79,1,1,1,1,6,1,1,5200,7
38,80,1,1,11,2,6,1,1,2100,7
38,46,1,1,21,1,1,1,1,38000,35
38,46,1,1,21,2,1,1,1,60000,18
38,12,1,5,9,2,NA,1,1,NA,35
38,11,1,5,7,1,NA,1,1,NA,34
38,9,1,5,6,1,NA,1,1,NA,33
38,18,1,5,18,2,6,1,1,1500,20
38,52,1,1,16,2,1,1,1,34000,7
38,40,1,1,16,1,1,1,1,95000,10
38,25,1,5,19,1,1,1,1,40000,17
38,41,1,3,19,1,6,1,1,0,10
38,31,2,1,19,1,4,2,3,34000,52
38,31,1,1,19,2,6,1,1,0,24
38,9,1,5,6,1,NA,9,3,NA,17
38,6,1,5,3,2,NA,9,3,NA,16
38,1,1,5,NA,1,NA,9,3,NA,15
38,53,1,5,12,2,6,3,1,7800,13
38,20,1,5,12,2,6,3,1,0,13
38,2,1,5,NA,2,NA,3,1,NA,22
38,1,1,5,NA,1,NA,3,1,NA,12
38,0,1,5,NA,1,NA,3,1,NA,12
38,23,1,5,14,1,6,3,1,3500,26
38,95,1,2,11,2,6,1,1,7600,12
38,29,1,5,20,2,1,1,1,12200,5
38,10,1,5,8,2,NA,1,2,NA,8
38,1,1,5,NA,1,NA,1,1,NA,9
38,33,1,1,21,2,6,1,1,1800,10
38,37,1,1,21,1,1,1,1,45000,7
38,7,1,5,4,2,NA,1,1,NA,11
38,5,1,5,3,2,NA,1,1,NA,11
38,1,1,5,NA,2,NA,1,1,NA,10
38,55,1,1,19,1,1,1,1,11500,9
38,52,1,1,16,2,1,1,1,19500,5
38,61,1,1,16,1,1,1,1,345000,7
38,59,1,1,16,2,1,1,1,6600,7
38,47,1,5,18,2,1,1,1,27000,24
38,43,1,5,13,2,6,1,1,0,29
38,61,5,3,19,1,6,6,1,0,4
38,45,1,1,16,2,1,1,1,33200,16
38,47,1,1,14,1,1,1,1,19200,23
38,16,1,5,13,1,1,1,1,4500,21
38,79,1,1,11,1,6,1,1,17150,12
38,75,1,1,16,2,6,1,1,2100,9
38,56,1,5,21,2,1,1,1,14000,13
38,31,1,1,21,2,1,1,1,39510,3
38,30,1,1,17,1,1,1,1,24800,3
38,6,1,5,2,1,NA,1,1,NA,6
38,3,1,5,1,2,NA,1,1,NA,4
38,1,1,5,NA,2,NA,1,1,NA,4
38,55,1,1,14,2,6,1,1,6700,5
38,56,1,1,20,1,1,1,1,42000,5
38,16,1,5,12,1,6,1,1,30,9
38,38,1,1,21,2,1,1,1,42000,17
38,38,1,1,23,1,1,1,1,132000,24
38,9,1,5,6,1,NA,1,1,NA,30
38,3,1,5,1,2,NA,1,1,NA,35
38,77,1,5,16,1,6,1,1,2000,37
38,59,1,1,21,1,1,1,1,43700,19
