"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
31,41,1,3,16,1,1,1,1,33000,5
31,19,1,5,16,1,1,1,1,6000,4
31,35,1,5,21,1,1,1,1,23000,21
31,88,1,2,16,2,6,1,1,15000,6
31,48,1,5,20,1,1,1,1,21000,23
31,55,1,1,21,1,1,1,1,124000,26
31,56,1,1,21,2,1,1,1,10000,25
31,23,1,5,19,2,1,1,1,28100,22
31,18,1,5,16,1,1,1,1,6000,29
31,50,1,3,21,2,1,1,1,32500,5
31,19,1,5,16,1,1,1,1,3900,4
31,95,1,2,16,2,6,1,1,9600,7
31,56,1,1,16,1,1,1,1,33160,4
31,54,1,1,17,2,1,1,1,16600,6
31,32,1,3,16,1,1,1,1,12900,3
31,17,1,5,13,1,1,1,1,3000,8
31,46,1,3,14,2,1,1,1,14200,36
31,52,1,3,18,1,6,1,1,8000,27
31,77,1,1,16,1,6,1,1,20600,24
31,76,1,1,16,2,6,1,1,7600,13
31,64,1,1,19,1,6,1,1,23700,8
31,61,1,1,21,2,6,1,1,40800,7
31,71,1,1,16,2,6,1,1,6000,26
31,76,1,1,16,1,6,1,1,28000,26
31,43,1,5,20,1,1,1,1,35000,26
31,82,1,2,16,2,1,1,1,22800,9
31,47,1,1,21,2,6,1,1,1800,25
31,55,1,1,21,1,1,1,1,58200,25
31,63,1,1,19,1,6,1,1,24300,7
31,67,1,1,16,2,6,1,1,16700,5
31,43,1,1,16,1,1,1,1,34000,35
31,44,1,1,21,2,1,1,1,58000,43
31,18,1,5,16,1,6,1,1,0,38
31,16,1,5,13,2,6,1,1,0,32
31,46,1,1,19,2,1,1,1,24500,10
31,51,1,1,16,1,1,1,1,46000,11
31,66,1,1,21,1,1,1,1,21050,23
31,65,1,1,19,2,1,1,1,12200,23
31,58,1,1,16,2,6,1,1,0,16
31,58,1,1,21,1,1,1,1,100000,19
31,67,1,1,18,1,1,1,1,51310,8
31,66,1,1,18,2,6,1,1,18400,8
31,72,1,2,22,2,6,1,1,26410,26
31,70,1,1,13,1,1,1,1,28600,8
31,72,1,1,19,2,6,1,1,12300,8
31,23,1,5,21,1,1,1,2,37000,20
31,23,1,5,20,1,1,1,1,17000,50
31,21,1,5,19,1,1,1,1,6000,50
31,36,1,1,19,1,1,1,1,63100,32
31,33,1,1,19,2,1,1,1,38000,33
31,17,1,5,14,1,3,1,1,0,31
31,19,1,5,18,2,1,1,1,5004,21
31,60,1,3,16,2,1,1,1,32000,13
31,26,1,5,20,1,1,1,1,30000,64
31,41,1,1,20,2,1,1,1,20050,4
31,39,1,1,20,1,1,1,1,25050,4
31,14,1,5,12,1,NA,1,1,NA,2
31,11,1,5,8,1,NA,1,1,NA,3
31,6,1,5,4,2,NA,1,1,NA,4
31,30,1,5,21,1,1,1,1,42000,15
31,55,1,1,20,2,1,1,1,24000,18
31,59,1,1,21,1,1,1,1,70000,22
31,63,1,3,16,2,1,1,1,29000,8
31,44,1,5,17,1,6,1,1,5000,6
31,40,1,1,16,1,1,1,1,60500,30
31,42,1,1,19,2,6,1,1,0,32
31,9,1,5,6,1,NA,1,1,NA,31
31,7,1,5,4,1,NA,1,1,NA,31
31,5,1,5,1,1,NA,1,1,NA,30
31,75,1,2,16,2,1,1,1,55200,10
31,26,1,3,17,1,6,1,1,0,11
31,60,1,1,21,2,1,1,1,43000,12
31,57,1,1,21,1,1,1,1,51000,14
31,57,1,1,16,1,1,1,1,80404,8
31,54,1,1,16,2,1,1,1,10000,8
31,25,1,5,23,1,1,1,1,4610,23
31,53,1,1,16,1,1,1,1,20000,11
31,48,1,1,16,2,1,1,1,20000,12
31,79,1,2,20,2,6,1,1,9600,4
31,41,1,1,21,2,1,1,1,36000,21
31,44,1,1,21,1,1,1,1,35000,20
31,68,1,1,21,1,6,1,1,31000,36
31,62,1,1,21,2,6,1,1,250,24
31,75,1,1,16,1,6,1,1,167000,4
31,69,1,1,17,2,6,1,1,8000,10
31,43,1,5,16,1,2,1,1,20000,7
31,19,1,5,18,1,3,1,1,4200,21
31,35,1,5,20,1,1,1,1,77000,6
31,34,1,5,23,2,1,1,1,60100,6
31,30,1,1,19,2,1,1,1,40000,18
31,34,1,1,16,1,1,1,1,35000,22
31,28,1,3,21,2,1,1,1,36000,20
31,3,1,5,1,2,NA,1,1,NA,25
31,67,1,1,16,1,6,1,1,20000,8
31,65,1,1,16,2,6,1,1,4600,6
31,46,1,3,19,1,1,1,1,70000,23
31,5,1,5,2,1,NA,3,1,NA,25
31,37,1,3,19,2,6,3,1,0,44
31,19,1,5,16,1,1,3,1,3000,20
31,20,1,5,16,2,1,2,1,5000,94
31,63,1,1,21,1,1,1,1,60800,30
31,64,1,1,16,2,1,1,1,38000,30
31,44,1,1,21,1,1,1,1,152000,19
31,44,1,1,21,2,6,1,1,0,15
31,14,1,5,12,2,NA,1,1,NA,19
31,11,1,5,8,2,NA,1,1,NA,19
31,60,1,1,18,1,1,1,1,32000,18
31,60,1,1,18,2,1,1,1,42000,18
31,85,1,2,16,2,6,1,1,16400,8
31,81,1,2,14,2,6,1,1,30000,6
31,24,1,1,20,1,1,1,1,26000,13
31,25,1,1,16,2,6,1,1,300,9
31,0,1,5,NA,2,NA,1,1,NA,7
31,71,1,1,21,2,6,1,1,6600,4
31,74,1,1,11,1,6,1,1,9300,5
31,48,1,5,16,1,6,1,1,5100,2
31,85,1,2,16,1,6,1,1,15000,9
31,71,1,5,19,1,6,1,1,19300,10
31,31,1,1,21,1,1,1,1,38000,6
31,28,1,1,21,2,6,1,1,0,13
31,2,1,5,NA,2,NA,1,1,NA,8
31,30,1,5,21,1,6,1,1,3000,36
31,49,1,1,21,1,1,1,1,12000,20
31,48,1,1,24,2,1,1,1,24500,30
31,13,1,5,11,2,NA,1,1,NA,19
31,11,1,5,9,2,NA,1,1,NA,20
31,47,1,1,16,1,1,1,1,49000,4
31,46,1,1,19,2,1,1,1,20000,4
31,19,1,5,16,1,6,1,1,4500,11
31,62,1,1,20,1,1,1,1,58000,35
31,63,1,1,22,2,1,1,1,2500,35
31,49,1,5,18,1,6,6,1,7200,99
31,26,1,5,21,1,6,1,1,3000,11
31,56,1,5,21,1,1,1,1,49400,28
31,49,1,3,16,2,6,1,1,17700,22
31,46,1,5,16,1,1,1,1,29900,23
31,37,1,1,22,1,6,1,1,1000,33
31,37,1,1,23,2,1,1,1,326000,32
31,7,1,5,3,1,NA,1,1,NA,33
31,6,1,5,2,1,NA,1,1,NA,33
31,5,1,5,2,2,NA,1,1,NA,32
31,45,1,1,19,1,1,1,1,50000,9
31,38,1,1,19,2,1,1,1,28000,9
31,8,1,5,6,1,NA,1,1,NA,6
31,5,1,5,2,1,NA,1,1,NA,6
31,3,1,5,1,1,NA,1,1,NA,10
31,38,1,5,18,1,6,1,1,0,7
31,29,1,5,16,1,1,1,1,30000,73
31,11,1,5,8,1,NA,1,1,NA,73
31,29,1,5,19,2,1,1,1,25000,72
31,16,1,5,11,1,6,1,1,0,19
31,49,1,1,18,1,1,1,1,60000,3
31,51,1,1,21,2,1,1,1,45000,6
31,12,1,5,8,1,NA,1,1,NA,4
31,10,1,5,6,1,NA,1,1,NA,4
31,57,1,1,21,1,1,1,1,6290,7
31,56,1,1,18,2,1,3,1,44590,20
31,23,1,5,19,1,3,1,1,0,19
31,61,1,1,19,1,1,1,1,75000,6
31,58,1,1,19,2,1,1,1,39000,6
31,55,1,1,19,1,6,2,1,22000,26
31,60,1,1,17,1,1,1,1,35200,31
31,61,4,1,16,2,1,1,1,36200,30
31,41,5,1,11,1,1,1,1,30000,24
31,35,5,1,19,2,1,1,1,10000,22
