"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
33,54,1,1,21,1,1,1,1,52000,14
33,54,1,1,21,2,1,1,1,21600,19
33,20,1,5,19,2,1,1,1,3000,1
33,62,1,1,20,1,6,1,1,9900,16
33,66,1,1,21,2,6,1,1,6000,14
33,20,1,5,19,1,6,1,1,3000,15
33,55,1,1,21,1,3,1,1,12800,21
33,54,1,1,22,2,1,1,1,40000,23
33,67,1,1,21,1,6,1,1,58300,12
33,67,1,1,21,2,6,1,1,24900,16
33,47,1,4,21,1,1,1,1,85000,5
33,4,1,5,2,1,NA,1,1,NA,4
33,39,1,1,20,2,1,1,1,13070,22
33,37,1,1,22,1,1,1,1,40600,23
33,9,1,5,6,2,NA,1,1,NA,17
33,7,1,5,4,1,NA,1,1,NA,16
33,31,1,5,21,1,1,1,1,280000,19
33,29,1,5,21,2,1,1,1,30000,33
33,76,1,1,11,1,1,1,1,20600,3
33,76,1,1,16,2,6,1,1,7400,2
33,45,1,1,21,2,6,1,1,0,6
33,81,1,1,21,1,6,1,1,22000,8
33,55,1,1,19,2,6,1,1,40000,16
33,56,1,1,21,1,1,1,1,225000,18
33,29,1,1,23,1,6,1,1,0,18
33,30,5,1,16,2,6,6,1,0,14
33,43,1,5,22,2,1,1,1,88040,27
33,51,1,1,22,2,1,1,1,52000,17
33,45,1,1,17,1,1,1,1,80000,15
33,15,1,5,12,1,NA,1,1,0,21
33,58,1,1,20,1,1,1,1,80000,15
33,55,1,1,19,2,1,1,1,37000,15
33,54,1,1,16,1,1,1,1,39900,27
33,51,1,1,18,2,1,1,1,47800,29
33,36,1,1,21,2,1,1,1,45000,18
33,36,1,1,21,1,1,1,1,32000,19
33,4,1,5,2,1,NA,1,1,NA,17
33,19,1,5,19,1,6,1,1,6000,19
33,40,1,5,14,1,6,1,1,0,11
33,26,1,5,19,1,1,1,1,30250,8
33,27,1,5,16,1,1,1,1,36400,8
33,49,1,1,16,1,1,1,1,45800,35
33,56,1,1,16,2,1,1,1,37000,23
33,51,1,4,19,2,6,1,1,10700,31
33,19,1,5,19,1,3,1,1,500,45
33,80,1,1,21,1,6,1,1,27000,23
33,72,1,1,23,2,6,1,1,29700,19
33,93,1,2,21,2,6,1,1,32400,15
33,36,1,1,16,1,3,1,1,57000,5
33,39,1,1,20,2,1,1,1,25000,6
33,5,1,5,2,1,NA,1,1,NA,5
33,14,1,5,10,2,NA,1,1,NA,7
33,37,1,3,20,1,1,1,1,56000,69
33,5,1,5,2,2,NA,1,1,NA,71
33,39,1,4,19,2,1,1,1,5500,69
33,55,1,3,21,1,1,1,1,108090,22
33,43,1,3,23,2,1,1,1,154900,24
33,13,1,5,10,1,NA,1,1,NA,25
33,9,1,5,6,2,NA,1,1,NA,25
33,82,1,2,16,2,6,1,23,56300,25
33,64,1,3,19,2,1,1,1,80000,18
33,48,1,3,22,2,1,1,1,40000,48
33,5,1,5,2,1,NA,1,1,NA,49
33,49,1,3,22,1,1,1,1,48000,47
33,61,1,1,21,2,6,1,1,45700,25
33,70,1,1,21,1,6,1,1,65400,24
33,44,1,3,18,2,1,1,1,39600,24
33,78,1,2,16,2,6,1,1,12100,30
33,44,1,3,17,1,1,9,1,39800,14
33,47,1,3,21,2,1,1,1,33000,72
33,18,1,5,14,1,1,1,1,400,78
33,16,1,5,12,1,6,1,1,0,67
33,14,1,5,10,2,NA,1,1,NA,69
33,37,1,1,21,1,1,1,1,100000,11
33,35,1,1,21,2,3,1,1,20000,10
33,8,1,5,5,2,NA,1,1,NA,8
33,6,1,5,3,2,NA,1,1,NA,8
33,50,1,1,24,1,1,3,1,356000,30
33,50,1,1,16,2,6,1,1,0,21
33,38,1,1,19,2,1,1,1,17100,25
33,39,1,1,16,1,1,1,1,53000,25
33,15,1,5,11,2,NA,1,1,0,25
33,13,1,5,9,1,NA,1,1,NA,25
33,9,1,5,5,2,NA,1,1,NA,22
33,4,1,5,2,2,NA,1,1,NA,26
33,65,1,3,16,2,6,1,1,1200,27
33,81,1,1,16,1,6,1,1,26700,67
33,74,1,1,16,2,6,1,1,6700,46
33,54,1,5,16,1,1,1,1,17400,57
33,82,1,2,16,1,6,1,1,37240,15
33,51,1,1,21,1,1,1,1,65000,12
33,48,1,1,17,2,1,1,1,110000,14
33,70,1,1,16,1,1,1,1,30800,19
33,54,1,1,21,2,1,1,1,49000,19
33,54,1,3,21,2,2,1,1,30000,27
33,44,1,3,20,1,1,1,1,83000,30
33,64,4,2,22,2,6,1,1,18700,20
33,31,1,5,23,1,1,1,1,40000,26
33,68,1,1,16,1,6,1,1,70100,16
33,65,1,1,13,2,6,1,1,7500,17
33,38,1,5,20,2,3,1,1,30000,15
33,42,1,5,21,2,1,1,1,140000,15
33,42,1,1,21,2,1,1,1,58000,15
33,43,1,1,16,1,1,1,1,65000,15
33,18,1,5,16,1,1,1,1,31100,19
33,15,1,5,12,2,NA,1,1,0,18
33,74,1,2,20,2,6,1,1,0,17
33,61,1,1,21,2,1,1,1,90000,23
33,59,1,1,21,1,1,1,1,28600,23
33,93,1,2,21,2,6,1,1,21280,5
33,61,1,3,18,1,1,1,1,47500,3
33,37,1,1,16,2,1,1,1,41000,16
33,46,1,1,16,1,1,1,1,34000,19
33,15,1,5,13,2,NA,1,1,0,26
33,19,1,5,16,2,1,1,1,20000,11
33,39,1,1,16,1,1,1,1,60030,14
33,42,1,1,18,2,1,1,1,17000,17
33,16,1,5,13,2,1,1,1,3000,28
33,15,1,5,12,1,NA,1,1,0,20
33,11,1,5,8,2,NA,1,1,NA,22
33,42,1,1,19,2,1,1,1,19000,33
33,38,1,1,19,1,1,1,1,58000,34
33,1,1,5,NA,2,NA,1,1,NA,28
33,45,1,1,16,1,1,1,1,45000,18
33,44,1,1,21,2,1,1,1,10000,18
33,12,1,5,9,2,NA,1,1,NA,15
33,28,1,5,18,1,6,1,1,0,32
33,49,1,1,16,1,1,1,1,214400,5
33,49,1,1,21,2,1,1,1,67000,7
