"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
35,55,1,4,16,2,6,1,1,1100,17
35,66,1,3,14,1,6,1,1,1300,34
35,23,1,5,19,1,1,1,1,2600,30
35,20,1,5,19,2,6,9,24,990,15
35,44,1,5,19,1,6,3,1,17000,16
35,62,1,1,16,2,6,1,24,4400,9
35,58,1,1,21,1,6,1,24,0,6
35,24,1,1,19,1,1,8,10,25000,18
35,24,1,1,19,2,1,8,10,30000,20
35,26,1,3,19,2,1,8,10,25000,58
35,8,1,5,6,2,NA,8,10,NA,35
35,7,1,5,5,1,NA,8,10,NA,47
35,52,1,1,19,1,1,1,1,35000,19
35,49,3,1,20,2,6,1,1,0,27
35,17,1,5,14,2,6,1,1,500,28
35,11,1,5,9,2,NA,1,1,NA,25
35,9,1,5,6,2,NA,1,1,NA,25
35,9,1,5,6,1,NA,1,1,NA,38
35,36,1,1,20,1,1,1,1,35000,51
35,34,3,1,17,2,6,1,1,0,40
35,13,1,5,10,2,NA,1,1,NA,34
35,8,1,5,5,2,NA,1,1,NA,34
35,6,1,5,3,2,NA,1,1,NA,34
35,5,1,5,2,1,NA,1,1,NA,41
35,20,1,1,16,2,1,3,1,21000,12
35,37,1,1,16,1,1,3,1,32000,16
35,8,1,5,5,2,NA,3,1,NA,19
35,17,1,5,12,2,6,3,1,0,21
35,16,1,5,13,2,3,3,1,0,21
35,20,1,5,16,1,6,3,1,5600,45
35,38,1,1,21,2,1,1,1,32500,3
35,39,1,1,21,1,1,1,1,39200,3
35,3,1,5,1,1,NA,1,1,NA,5
35,1,1,5,NA,1,NA,1,1,NA,5
35,23,1,5,16,1,6,1,1,0,23
35,20,1,5,16,1,6,1,1,1500,35
35,21,1,5,19,1,1,1,1,1000,35
35,19,1,5,18,2,6,1,1,25000,33
35,27,1,5,13,1,6,1,24,22800,17
35,55,1,3,21,2,1,1,1,45000,19
35,44,5,1,11,2,1,1,2,24000,22
35,83,1,2,20,2,6,9,1,36400,5
35,57,1,1,24,2,1,2,1,61000,15
35,57,1,1,22,1,1,2,1,50100,12
35,60,1,1,21,1,6,1,1,27000,34
35,57,1,1,17,2,1,1,1,26000,29
35,81,1,2,11,2,6,1,1,14800,17
35,49,1,1,21,1,1,1,1,120000,17
35,44,1,1,21,2,1,3,1,36000,12
35,59,1,1,21,1,1,1,1,77500,26
35,63,1,1,20,2,1,3,1,9860,19
35,8,1,5,5,1,NA,8,24,NA,21
35,60,1,3,23,2,1,1,1,53000,15
35,57,1,1,23,1,1,1,1,84400,14
35,62,1,1,21,2,1,1,1,75000,14
35,44,5,1,12,2,1,1,24,9000,25
35,42,5,1,1,1,1,1,24,18000,23
35,17,1,5,14,2,6,1,24,0,24
35,12,1,5,9,1,NA,1,24,NA,33
35,58,1,1,21,1,1,1,1,84000,11
35,49,4,1,21,2,1,6,1,86000,25
35,18,1,5,15,1,1,6,1,1100,23
35,78,4,1,19,2,6,6,1,8700,23
35,84,1,1,17,1,6,1,1,48400,18
35,32,5,1,6,1,1,1,2,18000,14
35,35,5,1,11,2,1,1,2,5000,24
35,14,5,5,8,1,NA,1,2,NA,22
35,10,5,5,5,2,NA,1,2,NA,17
35,5,5,5,3,1,NA,1,2,NA,21
35,4,5,5,1,1,NA,1,2,NA,17
35,38,5,1,11,1,1,1,2,18000,23
35,23,1,5,19,1,4,6,1,25000,12
35,70,1,1,19,1,6,1,1,50060,19
35,60,1,1,19,2,1,1,1,45570,19
35,84,1,2,11,1,6,1,2,1700,11
35,55,1,3,21,2,1,1,1,99000,16
35,54,1,1,19,1,1,1,1,45600,16
35,50,1,1,19,2,6,1,1,0,23
35,56,1,3,19,2,1,1,1,54000,14
35,19,1,5,19,2,1,1,1,14000,10
35,76,1,1,24,1,6,1,1,154000,12
35,75,1,1,21,2,1,1,1,16500,14
35,61,1,3,9,2,6,3,1,9000,4
35,30,1,1,19,1,1,1,1,72000,47
35,29,1,1,22,2,1,1,1,44400,48
35,0,1,5,NA,1,NA,1,1,NA,47
35,41,1,1,23,2,1,1,1,307000,15
35,45,1,1,20,1,1,1,1,-9999,12
35,93,1,2,19,2,6,1,1,14400,26
35,83,1,1,21,1,6,1,1,244000,18
35,72,1,1,21,2,6,1,1,18900,12
35,54,1,5,16,2,1,1,1,33000,6
35,55,1,5,19,2,6,1,2,0,12
35,57,1,1,21,1,6,1,24,34000,7
35,58,1,1,19,2,1,1,24,22000,10
35,72,1,1,19,1,1,1,1,120000,13
35,72,1,1,16,2,6,1,1,6600,13
35,68,1,3,22,2,1,1,1,36000,20
35,38,1,1,19,1,1,1,1,13200,19
35,35,1,1,16,2,6,1,2,0,21
35,24,1,1,20,2,4,1,24,34000,7
35,28,1,1,19,1,6,1,24,20000,12
35,24,1,5,19,1,1,1,2,26000,18
35,27,1,5,21,1,1,1,1,15500,22
35,33,1,1,23,1,1,1,1,307000,16
35,33,1,1,22,2,1,1,1,10000,20
35,6,1,5,3,1,NA,1,1,NA,17
35,3,1,5,1,2,NA,1,1,NA,14
35,1,1,5,NA,2,NA,1,1,NA,13
35,59,1,1,19,1,1,1,1,113000,29
35,46,1,1,20,2,1,1,1,20000,24
35,51,1,3,13,2,1,9,24,20100,16
35,80,1,1,1,2,6,3,1,11300,11
35,71,1,1,10,1,6,3,1,11900,13
35,36,1,5,9,2,6,3,1,9200,33
35,19,1,5,16,2,6,3,1,1900,14
35,17,1,5,13,2,6,3,1,710,18
35,37,1,1,13,2,6,3,1,0,32
35,14,1,5,10,1,NA,3,1,NA,24
35,10,1,5,6,2,NA,3,1,NA,13
35,68,1,1,19,1,6,1,1,11800,7
35,63,1,1,19,2,6,1,1,4200,9
35,24,1,5,17,1,6,1,2,0,30
35,32,5,1,10,1,1,1,2,60000,15
35,30,5,1,11,2,6,1,2,0,18
35,7,5,5,4,1,NA,1,2,NA,10
35,6,5,5,1,1,NA,1,2,NA,10
35,0,1,5,NA,1,NA,1,2,NA,16
35,51,5,1,9,1,1,8,2,9800,18
35,52,5,1,9,2,6,8,2,7100,15
35,27,1,5,16,2,6,8,2,2200,26
35,19,1,5,16,1,2,8,2,4000,9
35,12,1,5,10,1,NA,8,2,NA,9
35,3,1,5,1,2,NA,8,2,NA,10
35,2,1,5,NA,1,NA,8,2,NA,10
35,29,1,1,22,2,1,1,1,36000,14
35,37,1,1,17,1,1,1,1,30000,14
35,2,1,5,NA,1,NA,1,1,NA,8
35,48,1,1,19,1,1,1,24,45000,16
35,39,1,1,21,2,1,1,24,45000,20
35,6,1,5,3,1,NA,1,24,NA,28
35,57,1,2,20,2,6,2,1,0,20
35,74,4,1,19,1,1,1,6,42400,15
35,60,1,1,16,2,6,1,1,0,17
35,66,1,5,24,1,6,1,1,13300,19
35,45,5,5,1,1,2,1,2,23700,13
35,50,1,4,17,2,6,1,2,12600,12
35,53,1,1,16,1,1,1,23,65000,17
35,53,1,1,16,2,1,1,23,24000,16
35,28,1,5,16,1,1,1,23,35000,14
35,54,1,3,21,2,1,1,2,52000,20
35,38,1,3,16,1,1,8,24,30000,56
35,26,1,5,19,2,1,1,1,13800,40
35,8,1,5,4,2,NA,1,24,NA,38
35,30,1,5,16,1,1,8,24,81000,77
35,29,1,1,19,1,1,8,24,36000,83
35,26,1,5,16,2,1,8,24,18000,53
35,17,1,5,14,2,6,3,1,3200,5
35,58,1,5,24,1,1,1,24,116000,39
35,48,1,5,21,1,1,1,24,20000,59
35,46,1,4,21,2,6,1,1,7900,6
35,34,1,1,23,1,1,1,1,73000,11
35,27,1,1,23,2,6,1,1,3000,16
35,1,1,5,NA,1,NA,1,1,NA,12
35,49,1,4,13,1,6,1,1,9700,17
35,64,1,1,11,1,6,8,24,20400,33
35,64,1,1,12,2,6,8,24,6400,15
35,52,1,4,19,2,1,1,1,25000,16
35,27,1,5,16,1,6,9,2,90,15
35,21,1,5,16,1,1,2,1,4500,86
35,23,1,5,19,2,1,3,1,7000,34
