"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
32,75,1,1,16,1,6,1,1,73300,18
32,85,1,1,16,2,6,1,1,69700,17
32,39,5,3,9,1,1,1,2,12000,41
32,40,5,1,14,1,1,1,2,12000,49
32,46,1,3,16,2,1,1,1,30000,38
32,14,1,5,11,1,NA,1,2,NA,39
32,40,1,5,21,2,1,1,1,16000,10
32,32,1,5,16,1,1,1,1,45000,9
32,57,1,1,20,2,6,1,1,0,15
32,57,1,1,19,1,1,1,1,104000,16
32,23,1,5,16,1,1,1,1,30000,17
32,40,4,1,17,1,1,1,2,41010,12
32,5,1,5,3,1,NA,1,2,NA,12
32,20,1,5,19,2,1,1,1,3000,28
32,27,1,5,16,1,1,8,2,4000,18
32,56,5,1,21,2,1,1,1,41000,22
32,56,5,1,19,1,1,1,1,84000,22
32,55,1,5,19,2,1,3,1,8900,28
32,32,1,1,22,2,1,1,1,50000,34
32,36,1,1,18,1,1,1,1,65000,22
32,6,1,5,3,2,NA,1,1,NA,20
32,3,1,5,1,1,NA,1,1,NA,20
32,64,1,1,16,1,6,1,1,12000,21
32,59,1,1,16,2,6,1,1,30000,18
32,30,1,5,18,2,1,2,1,22000,43
32,5,1,5,2,1,NA,2,1,NA,40
32,2,1,5,NA,2,NA,2,1,NA,47
32,59,1,1,23,1,1,1,1,120000,13
32,51,1,1,23,2,1,1,1,156600,15
32,18,1,5,15,2,6,1,1,1330,17
32,50,1,1,21,2,1,1,1,32000,13
32,51,1,1,24,1,1,1,1,48000,14
32,43,1,1,16,2,1,1,1,6300,14
32,41,1,1,19,1,1,1,2,26000,20
32,61,1,3,22,1,1,1,1,100000,15
32,61,1,3,16,2,1,3,1,50000,22
32,39,1,3,13,1,3,3,1,0,13
32,29,1,5,17,1,1,3,1,9000,19
32,26,1,5,21,2,3,3,1,10000,23
32,1,1,5,NA,1,NA,9,1,NA,15
32,28,4,5,22,1,1,6,1,90000,20
32,43,1,1,17,2,6,1,1,0,50
32,44,1,1,14,1,1,1,1,50000,47
32,7,1,5,4,1,NA,1,1,NA,51
32,3,1,5,1,2,NA,1,1,NA,57
32,45,1,5,14,1,1,1,1,50000,58
32,90,1,2,16,1,6,1,1,12000,61
32,46,1,1,20,1,1,1,1,89000,15
32,38,1,1,15,2,6,1,1,18000,16
32,17,1,5,14,2,1,1,1,2000,19
32,14,1,5,12,2,NA,1,1,NA,14
32,44,1,1,18,2,1,1,1,90000,17
32,46,1,1,17,1,1,1,2,90000,28
32,9,1,5,5,1,NA,1,1,NA,19
32,6,1,5,3,2,NA,1,1,NA,17
32,50,1,1,16,1,1,1,1,81000,13
32,48,1,1,18,2,1,1,1,85000,14
32,26,1,5,17,1,1,1,1,42000,18
32,37,1,1,19,2,1,1,1,50100,18
32,57,1,1,16,1,2,1,1,20000,17
32,11,1,5,8,1,NA,1,1,NA,18
32,42,1,1,16,1,1,1,1,16000,11
32,39,1,1,24,2,1,1,1,69000,11
32,32,1,5,19,1,1,1,1,35000,14
32,35,1,4,20,2,1,1,2,25230,33
32,15,1,5,12,1,NA,1,2,0,36
32,13,1,5,10,1,NA,1,2,NA,38
32,11,1,5,8,2,NA,1,2,NA,42
32,42,1,1,18,1,1,1,1,37000,13
32,27,1,1,21,2,2,1,1,1500,16
32,1,1,5,NA,2,NA,1,1,NA,17
32,42,1,5,21,1,1,1,1,30000,12
32,75,1,2,16,2,6,9,1,36500,10
32,63,1,1,21,1,1,1,1,33200,15
32,63,1,1,20,2,1,1,1,10800,13
32,69,1,3,19,1,1,1,1,40300,13
32,64,1,1,20,2,6,1,1,45100,16
32,65,1,1,17,1,6,1,1,37400,17
32,83,1,2,16,2,6,1,1,20200,16
32,43,1,5,21,2,1,1,1,36000,49
32,44,5,5,9,1,1,1,2,2500,32
32,5,1,5,1,2,NA,1,2,NA,35
32,3,1,5,1,2,NA,1,2,NA,35
32,0,1,5,NA,1,NA,1,2,NA,38
32,29,5,5,9,2,6,1,2,0,28
32,47,1,3,18,1,6,1,1,1000,40
32,37,1,5,19,1,1,1,1,38000,49
32,35,1,5,20,2,1,1,1,12300,11
32,39,1,1,19,1,1,1,1,50000,14
32,41,1,1,18,2,1,1,1,38000,11
32,16,1,5,12,1,6,1,1,0,12
32,13,1,5,9,1,NA,1,2,NA,16
32,38,1,5,17,1,6,1,1,10000,54
32,45,1,1,18,2,1,1,1,25000,33
32,32,5,1,11,1,1,1,2,12000,36
32,53,1,1,16,1,6,1,1,7500,18
32,59,1,3,22,2,1,1,1,50900,4
32,38,5,5,18,2,1,1,1,31000,15
32,65,5,1,16,2,6,1,1,3400,11
32,60,5,1,15,1,1,1,1,53600,12
32,53,4,2,1,2,1,1,2,24800,11
32,17,1,5,14,2,6,1,2,0,12
32,13,1,5,9,1,NA,1,2,NA,11
32,56,1,1,19,1,1,1,1,112000,12
32,56,1,1,20,2,1,1,1,35000,12
32,53,1,3,19,2,1,1,1,40000,14
32,20,1,5,15,1,1,2,1,20900,15
32,21,1,5,17,2,1,9,23,23200,19
32,44,1,5,7,1,6,2,1,8300,15
32,68,1,1,16,1,1,1,1,28700,28
32,71,5,1,16,2,6,1,1,14600,30
32,43,4,3,21,2,1,1,19,45000,11
32,21,1,5,19,1,1,1,19,2000,14
32,15,1,5,11,1,NA,1,19,0,12
32,74,1,3,17,2,6,1,1,18000,14
32,60,1,2,16,2,6,1,1,38400,10
32,46,1,1,20,1,1,3,1,21300,3
32,45,1,1,19,2,1,3,1,31100,2
32,14,1,5,11,1,NA,3,1,NA,6
32,5,1,5,2,2,NA,3,1,NA,4
32,48,5,1,10,2,1,8,11,20000,19
32,51,4,1,10,1,2,8,11,22000,21
32,29,4,5,16,2,1,8,11,23000,16
32,27,4,5,14,1,1,8,11,21000,18
32,23,4,1,11,2,6,8,11,0,18
32,10,4,5,4,1,NA,8,11,NA,16
32,4,1,5,1,1,NA,8,11,NA,20
32,0,1,5,NA,1,NA,8,11,NA,20
32,29,5,1,13,1,1,8,11,50000,18
32,26,5,5,13,1,1,8,11,44000,19
32,20,1,5,16,2,1,1,1,35000,13
32,22,1,5,15,1,1,1,1,35000,12
32,29,5,1,10,1,1,1,2,36000,41
32,29,5,1,10,2,1,1,2,10000,41
32,9,1,5,5,2,NA,1,2,NA,47
32,8,1,5,4,1,NA,1,2,NA,39
32,1,1,5,NA,1,NA,1,2,NA,51
32,39,1,3,21,2,1,1,2,65000,21
32,13,1,5,9,1,NA,1,2,NA,19
32,11,1,5,8,2,NA,1,2,NA,24
32,19,1,5,16,2,1,1,2,15000,20
32,55,1,4,19,1,6,1,1,1200,11
32,23,1,5,18,2,1,1,1,19000,12
32,3,1,5,1,2,NA,1,1,NA,19
32,0,1,5,NA,1,NA,1,1,NA,16
32,66,1,1,18,1,6,1,1,23000,18
32,59,4,1,19,2,1,1,1,12500,16
32,70,1,1,16,1,6,1,1,37600,11
32,66,1,1,16,2,6,1,1,6000,11
32,36,1,1,16,2,1,1,1,65000,39
32,40,1,1,17,1,3,1,1,11000,38
32,9,1,5,6,2,NA,1,1,NA,37
32,62,1,3,19,2,1,1,1,76000,14
32,82,1,3,18,2,6,1,1,13000,16
32,65,1,1,18,1,1,1,1,88500,11
32,64,1,1,16,2,6,1,1,0,14
32,45,1,1,12,2,1,1,1,37600,10
32,48,1,1,16,1,1,1,1,36000,12
32,23,1,5,21,1,6,1,1,13800,13
32,20,1,5,16,1,1,1,1,12000,14
32,17,1,5,14,2,3,1,1,0,10
32,63,1,1,16,1,1,6,1,54000,12
32,62,1,1,18,2,1,1,1,30000,12
32,44,1,3,20,2,6,1,1,4700,19
32,15,1,5,12,2,NA,1,1,0,20
32,36,1,3,19,1,6,1,1,1800,41
32,24,1,3,14,1,6,1,1,4000,35
32,15,1,5,11,2,NA,1,1,0,21
32,48,4,1,10,1,6,8,2,11200,16
32,38,5,1,15,2,1,8,2,26000,13
32,12,1,5,10,1,NA,8,2,NA,13
32,8,1,5,6,2,NA,8,2,NA,15
32,27,5,1,17,1,1,7,1,37000,39
32,5,1,5,1,2,NA,7,1,NA,29
32,24,5,5,14,1,3,7,1,20000,55
32,11,5,5,8,1,NA,7,1,NA,29
32,25,3,5,19,2,1,7,1,21000,49
32,3,1,5,1,2,NA,7,1,NA,29
32,71,1,1,23,1,6,1,1,205400,17
32,65,1,1,21,2,6,1,1,50000,16
32,55,1,4,18,2,6,3,1,28700,16
32,34,1,5,17,1,6,1,1,0,18
32,50,1,1,17,2,3,1,1,16000,17
32,45,1,1,21,1,1,1,1,48000,13
32,51,1,1,19,1,6,1,1,72000,19
32,51,1,1,19,2,6,1,1,630,19
32,19,1,5,19,1,6,1,1,6000,15
32,18,1,5,14,1,1,1,1,6200,15
32,22,1,5,12,1,6,1,2,18400,18
32,55,1,1,19,1,1,1,1,352000,19
32,51,1,1,19,2,1,1,1,33300,19
32,52,1,1,19,1,1,2,1,25000,17
32,51,1,1,16,2,1,2,1,40000,15
32,69,4,3,16,2,3,2,1,19200,10
32,46,1,1,17,1,1,1,1,19500,13
32,49,1,1,16,2,1,1,1,13950,12
32,20,1,5,19,2,1,1,1,10000,17
32,19,1,5,19,2,1,1,1,3800,13
32,15,1,5,13,1,NA,1,1,1500,12
32,12,1,5,9,1,NA,1,1,NA,13
32,11,1,5,8,2,NA,1,1,NA,11
32,65,1,3,19,1,1,1,1,100000,50
32,53,1,3,19,2,6,1,1,0,47
32,29,1,1,14,1,1,1,1,50000,15
32,26,1,1,20,2,6,1,1,0,14
32,7,1,5,3,1,NA,1,1,NA,12
32,3,1,5,1,2,NA,1,1,NA,14
32,35,1,1,16,1,1,1,1,60000,40
32,41,1,1,19,2,1,1,1,12000,35
32,6,1,5,3,1,NA,1,1,NA,36
32,15,3,5,12,1,NA,6,1,0,29
32,32,1,1,18,2,1,1,1,25000,14
32,33,1,1,21,1,1,1,1,42000,17
32,2,1,5,NA,2,NA,1,1,NA,18
32,0,1,5,NA,1,NA,1,1,NA,16
32,23,1,5,18,2,1,1,1,30000,29
32,25,1,5,13,1,3,1,1,7000,29
32,64,1,1,16,1,1,1,1,39100,12
32,61,1,1,16,2,3,1,1,29500,9
32,33,1,3,16,1,1,1,1,50000,14
32,57,1,3,16,2,6,1,1,24250,17
32,26,1,1,16,2,6,1,1,0,21
32,2,1,5,NA,2,NA,1,1,NA,22
32,26,1,1,16,1,1,1,1,24000,26
32,28,1,5,15,2,6,1,2,0,11
32,8,1,5,3,1,NA,1,2,NA,12
32,5,1,5,1,2,NA,1,2,NA,12
32,4,1,5,1,1,NA,1,2,NA,13
32,3,1,5,1,1,NA,1,2,NA,13
32,2,1,5,NA,1,NA,1,2,NA,13
32,1,1,5,NA,2,NA,1,2,NA,13
32,0,1,5,NA,2,NA,1,2,NA,13
32,22,1,5,13,1,1,1,2,7500,12
32,29,1,5,15,1,1,1,2,36000,12
32,48,1,5,16,1,1,1,1,29000,12
32,20,1,5,18,2,1,7,1,32000,12
32,13,1,5,10,2,NA,7,1,NA,14
32,40,1,3,19,2,1,7,1,20000,13
32,39,5,1,19,1,1,1,2,25000,39
32,39,5,1,11,2,6,1,2,0,33
32,17,1,5,13,2,6,1,2,0,38
32,15,1,5,11,1,NA,1,2,0,41
32,13,1,5,10,1,NA,1,2,NA,36
32,5,1,5,1,2,NA,1,2,NA,42
32,47,1,1,18,1,1,1,1,100000,9
32,42,1,1,19,2,1,9,1,38000,17
32,18,1,5,14,2,3,1,1,3000,11
32,15,1,5,12,2,NA,9,1,0,7
32,9,1,5,7,2,NA,9,1,NA,9
32,82,1,1,23,1,6,1,1,40800,19
32,85,1,1,23,2,6,1,1,0,18
32,57,1,3,21,2,3,1,1,21000,11
32,39,1,5,14,2,6,2,1,0,58
32,54,1,3,19,1,1,1,1,78000,17
32,33,1,5,21,1,1,1,1,60000,10
32,32,4,5,19,1,6,8,23,10000,16
32,59,4,1,19,1,1,1,1,73000,16
32,62,4,1,20,2,6,1,1,0,15
32,22,4,5,21,2,6,1,1,0,20
32,24,1,5,21,2,1,1,1,44090,16
32,27,1,5,22,1,1,1,1,34000,14
32,24,1,5,21,2,1,1,2,20000,11
32,46,1,5,16,1,1,1,1,38000,12
32,59,1,3,18,1,6,2,1,16000,33
32,74,1,1,19,1,6,1,1,24000,16
32,74,1,1,16,2,6,1,1,6000,17
32,78,1,3,19,1,6,1,1,21400,11
32,42,1,5,19,1,1,1,1,67000,17
32,61,1,2,19,2,6,1,1,13400,22
32,56,1,5,22,1,6,1,1,40500,12
32,50,1,3,18,2,1,1,1,37000,16
32,29,1,5,21,1,1,1,1,20000,25
32,60,1,1,21,1,1,1,1,90000,16
32,60,1,1,19,2,6,1,1,50000,16
32,83,3,2,14,2,6,1,1,22100,15
32,56,1,3,19,1,1,1,1,35000,19
32,65,1,3,21,2,1,2,1,74000,10
32,44,1,1,21,2,6,1,1,0,16
32,51,1,1,20,1,1,1,1,60350,22
32,16,1,5,14,1,6,1,1,1500,16
32,13,1,5,10,2,NA,1,1,NA,13
32,11,1,5,9,1,NA,1,1,NA,16
32,17,1,5,15,1,3,9,1,4200,12
32,25,1,1,21,1,1,1,1,52000,35
32,25,1,1,21,2,3,1,1,35500,28
32,25,1,3,19,2,3,1,1,0,35
32,6,1,5,3,2,NA,8,2,NA,32
32,24,1,5,20,2,3,1,1,0,37
32,20,1,5,16,2,1,2,1,28500,19
32,0,1,5,NA,2,NA,2,1,NA,16
32,28,1,5,16,2,6,1,1,15000,14
32,6,1,5,3,2,NA,1,1,NA,13
32,0,1,5,NA,1,NA,1,2,NA,22
32,20,1,5,12,1,3,1,2,10000,11
32,41,5,3,16,2,1,1,2,27000,33
32,22,5,5,12,2,1,1,2,17000,40
32,17,1,5,13,1,1,1,2,6000,37
32,74,1,1,19,1,6,1,1,28100,11
32,73,1,1,16,2,6,1,1,18000,12
32,48,1,1,19,1,1,1,1,65100,11
32,43,1,1,16,2,6,1,1,0,11
32,20,1,5,13,1,1,1,1,9000,13
32,18,1,1,16,2,1,1,1,15600,13
32,16,1,5,13,2,6,1,1,780,31
32,67,1,5,16,2,1,1,1,30000,10
32,43,4,1,21,1,1,6,1,52000,15
32,43,1,1,11,2,6,1,1,10000,16
32,45,1,1,14,1,6,1,1,15000,3
32,31,1,1,18,2,1,1,1,50000,5
32,1,1,5,NA,2,NA,1,1,NA,2
32,14,1,5,10,2,NA,3,1,NA,2
32,11,1,5,8,2,NA,3,1,NA,3
32,9,1,5,6,1,NA,3,1,NA,1
32,9,1,5,6,1,NA,1,1,NA,3
32,80,1,2,21,2,6,1,1,12590,16
32,80,1,3,18,2,6,1,1,38200,19
32,36,5,5,12,1,6,1,4,5000,14
32,31,1,5,20,1,1,1,1,90000,38
32,76,1,2,9,2,6,8,24,8300,17
32,25,1,5,22,2,1,1,1,41000,12
32,26,1,5,19,2,1,1,1,30900,15
32,22,1,5,19,2,1,1,1,30000,15
32,41,1,1,21,1,1,1,1,85000,11
32,40,5,1,22,2,6,1,1,2500,11
32,4,1,5,1,1,NA,1,1,NA,12
32,3,1,5,1,2,NA,1,1,NA,11
32,25,1,1,17,2,1,1,1,5600,16
32,24,1,1,15,1,1,1,1,21800,15
32,1,1,5,NA,2,NA,1,1,NA,16
32,4,1,5,1,1,NA,1,1,NA,18
32,25,1,3,15,1,1,1,1,20600,23
32,35,1,1,19,1,1,1,1,41000,14
32,28,1,1,20,2,1,1,1,95000,10
32,61,1,1,22,1,1,1,1,150000,53
32,44,4,1,21,2,6,6,1,0,52
32,32,1,3,19,2,1,1,1,14300,20
32,3,1,5,1,1,NA,9,1,NA,81
32,63,1,3,14,2,6,1,1,18000,23
32,43,5,1,22,1,1,1,2,17000,15
32,40,5,1,22,2,6,1,2,0,13
32,6,1,5,3,1,NA,1,2,NA,15
32,4,1,5,1,2,NA,1,2,NA,17
32,80,1,2,16,2,6,1,1,16000,17
32,51,1,3,21,2,1,1,1,17500,12
32,55,1,3,16,2,1,1,1,80000,15
32,53,4,1,11,1,1,3,2,32000,40
32,17,1,5,14,2,1,3,2,4000,38
32,43,5,1,16,2,1,3,2,23400,148
32,16,1,5,12,2,1,3,2,3500,37
32,64,1,1,16,1,6,1,1,29700,25
32,58,1,1,12,2,1,1,1,27700,21
32,24,1,5,16,1,1,1,1,12300,101
32,68,5,1,8,1,1,8,2,26300,14
32,67,5,1,14,2,6,8,2,7500,12
32,57,1,3,16,2,1,1,1,33700,17
32,35,1,3,16,1,1,1,1,36000,28
32,38,1,1,18,1,1,1,1,63000,46
32,38,1,1,11,2,1,1,1,28900,46
32,19,1,5,18,1,6,1,1,0,39
32,0,1,5,NA,1,NA,1,1,NA,52
32,57,1,1,20,1,1,1,1,66000,16
32,52,1,1,21,2,6,1,1,0,16
32,48,1,5,16,1,3,9,1,58000,10
32,48,1,5,21,1,6,7,1,17000,13
32,40,1,3,16,1,1,1,1,34000,12
32,38,1,1,16,1,1,1,1,68000,12
32,36,1,1,21,2,6,1,1,0,11
32,6,1,5,3,2,NA,1,1,NA,9
32,4,1,5,1,2,NA,1,1,NA,12
32,76,4,1,19,1,1,1,1,58600,19
32,78,4,1,17,2,6,1,1,8700,19
32,63,1,3,16,2,6,1,1,9400,14
32,57,1,1,21,1,6,1,1,13800,32
32,78,1,1,21,2,6,1,1,25000,33
32,53,5,1,21,1,1,1,1,160000,12
32,46,5,1,19,2,1,1,1,66000,12
32,23,5,5,19,1,1,1,1,15400,15
32,41,1,1,16,1,1,1,1,53000,11
32,43,1,1,19,2,1,1,1,8800,9
32,71,5,3,19,1,1,1,11,50000,16
32,90,1,3,16,2,6,1,1,31200,13
32,74,1,1,19,1,6,2,1,18300,10
32,71,1,1,18,2,6,2,1,11600,9
