"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
54,62,1,3,9,1,6,1,1,7600,13
54,26,1,5,13,1,1,1,1,45000,12
54,58,1,3,1,2,6,1,1,0,11
54,77,1,1,16,1,6,1,1,25900,17
54,77,1,1,8,2,6,1,1,2900,18
54,82,1,2,11,2,6,1,1,5500,18
54,41,1,1,21,1,6,1,1,46300,14
54,30,1,1,16,1,1,1,1,50200,19
54,33,1,1,16,2,1,1,1,20000,22
54,82,1,2,15,2,6,1,1,18300,13
54,75,1,5,1,2,6,1,1,4200,20
54,49,1,1,23,1,1,1,1,245700,18
54,46,1,1,21,2,6,1,1,0,26
54,18,1,5,16,2,6,1,1,0,29
54,16,1,5,13,1,6,1,1,0,10
54,16,1,5,13,1,6,1,1,0,10
54,38,1,3,19,2,6,1,1,10800,24
54,14,1,5,11,2,NA,1,1,NA,21
54,13,1,5,9,1,NA,1,1,NA,21
54,26,1,1,19,2,1,1,1,28000,14
54,25,1,1,19,1,1,1,1,8000,17
54,93,1,3,11,2,6,1,1,0,17
54,45,1,3,19,2,1,1,1,14000,6
54,45,1,3,16,2,1,1,1,19000,7
54,82,1,2,13,2,6,1,1,13200,20
54,43,1,3,18,2,2,1,1,5000,9
54,15,1,5,11,1,NA,1,1,0,13
54,13,1,5,9,1,NA,1,1,NA,11
54,17,1,5,14,1,6,1,1,720,9
54,82,1,2,16,2,6,1,1,51800,9
54,52,1,5,21,2,1,1,1,71500,20
54,22,1,5,16,1,6,1,1,0,11
54,63,1,1,19,2,6,1,1,3900,5
54,67,1,1,16,1,6,1,1,32400,5
54,10,1,5,6,2,NA,1,1,NA,6
54,60,1,1,1,1,1,1,1,25530,11
54,60,1,1,1,2,6,1,1,0,12
54,57,1,1,17,1,1,1,1,23000,25
54,53,1,1,16,2,1,1,1,15600,15
54,18,1,5,18,2,1,1,1,3200,16
54,15,1,5,12,1,NA,1,1,0,15
54,53,1,2,17,2,6,1,1,31000,15
54,37,1,1,22,2,1,1,1,50000,16
54,41,1,1,20,1,1,1,1,65500,15
54,9,1,5,6,1,NA,1,1,NA,15
54,4,1,5,1,1,NA,1,1,NA,13
54,21,1,5,19,1,6,1,1,0,37
54,59,1,1,16,1,1,1,1,20000,5
54,59,1,1,16,2,6,1,1,2500,5
54,31,1,5,16,1,1,1,1,24000,9
54,70,1,1,16,1,6,1,1,63800,14
54,69,1,1,16,2,6,1,1,5300,15
54,53,1,1,21,2,1,1,1,960,33
54,53,1,1,19,1,1,1,1,23000,33
54,6,1,5,3,2,NA,1,1,NA,48
54,52,1,1,16,2,1,1,1,12000,29
54,54,1,1,16,1,1,1,1,50000,37
54,29,1,1,16,1,1,1,1,90000,27
54,27,1,1,16,2,6,1,1,0,32
54,6,1,5,3,1,NA,1,1,NA,30
54,3,1,5,1,2,NA,1,1,NA,37
54,19,1,5,19,1,6,2,1,0,100
54,51,1,1,18,1,1,1,1,80000,17
54,44,1,1,16,2,1,1,1,2000,15
54,18,1,5,16,1,6,1,1,0,10
54,59,1,1,20,1,1,1,1,51004,15
54,57,1,1,19,2,6,1,1,11000,12
54,78,1,5,16,2,6,1,1,20000,6
54,77,1,1,13,1,1,1,1,81700,19
54,73,1,1,16,2,6,1,1,12900,14
54,59,1,1,17,2,6,1,1,3300,21
54,61,1,1,16,1,1,1,1,20000,19
54,31,1,5,15,1,3,1,1,13000,54
54,28,1,1,16,2,6,1,1,4600,75
54,29,1,1,19,1,3,1,1,0,58
54,8,1,5,4,1,NA,1,1,NA,31
54,6,1,5,3,2,NA,1,1,NA,45
54,77,1,2,19,2,6,1,1,13800,19
54,53,1,1,16,1,1,1,1,75000,19
54,47,1,1,18,2,1,1,1,36000,25
54,62,1,1,16,1,6,1,1,20300,21
54,58,1,1,16,2,6,1,1,26300,23
54,58,1,5,16,2,1,1,1,15100,5
54,61,1,5,16,2,1,1,1,16000,12
54,58,1,5,16,2,1,1,1,15100,12
54,65,1,1,20,2,1,1,1,73000,4
54,62,1,1,21,1,6,1,1,78000,6
54,42,1,1,17,1,6,1,1,0,19
54,45,1,1,12,2,1,1,1,24000,15
54,57,1,1,19,1,1,1,1,90000,15
54,57,1,1,19,2,6,1,1,0,17
54,69,1,1,12,1,6,1,1,16000,16
54,65,1,1,11,2,6,1,1,6000,21
54,26,1,5,12,1,6,1,1,15000,14
54,57,1,1,16,1,1,1,1,27000,14
54,55,1,1,16,2,1,1,1,25000,15
54,39,1,1,20,1,1,1,1,22000,13
54,44,5,1,21,2,1,1,1,21600,14
54,11,5,5,7,2,NA,1,1,NA,15
54,42,1,3,21,2,1,1,1,30000,44
54,57,1,1,16,1,1,1,1,30000,13
54,54,1,1,16,2,6,1,1,0,10
54,35,1,5,16,1,1,1,1,56000,10
54,32,1,3,16,1,6,1,1,1000,10
54,29,1,1,16,1,6,1,1,1300,12
54,13,1,5,10,2,NA,1,1,NA,13
54,8,1,5,6,1,NA,1,1,NA,12
54,50,1,3,16,1,1,1,1,27000,19
54,78,1,1,13,1,6,1,1,15100,4
54,74,1,1,12,2,6,1,1,6100,4
54,59,1,5,22,2,1,1,1,85000,25
54,50,1,1,21,1,1,1,1,124000,17
54,48,1,1,21,2,1,1,1,52000,16
54,17,1,5,14,2,6,1,1,0,21
54,15,1,5,12,2,NA,1,1,0,20
54,53,1,1,16,1,1,1,1,56000,19
54,51,1,1,14,2,1,1,1,12000,21
54,72,1,1,22,1,6,1,1,4600,24
54,73,1,1,16,2,1,1,1,45000,24
54,34,1,1,12,1,1,1,1,1210,15
54,27,1,1,17,2,1,1,1,2400,14
54,9,1,5,6,1,NA,1,1,NA,13
54,6,1,5,1,2,NA,1,1,NA,17
54,35,1,5,12,1,1,1,1,12500,18
54,25,1,3,19,1,1,1,1,42000,16
54,46,1,1,17,1,1,1,1,30200,13
54,47,1,1,18,2,1,1,1,15700,18
54,24,1,5,16,1,1,1,1,17200,14
54,7,1,5,4,1,NA,1,1,NA,15
54,89,1,2,9,1,6,1,1,12400,17
