"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
56,47,1,5,20,1,1,1,1,35000,32
56,57,1,3,20,1,1,1,1,19100,31
56,43,1,1,16,2,1,1,1,25000,10
56,47,1,1,11,1,1,1,1,20000,9
56,46,1,1,19,2,1,1,1,95000,18
56,47,1,1,20,1,1,1,1,80000,19
56,80,1,1,10,1,6,1,2,13200,18
56,73,1,1,19,2,6,1,2,4700,11
56,23,1,1,21,1,1,1,1,47000,16
56,79,1,1,21,2,1,1,1,37000,16
56,32,1,1,17,1,6,2,1,4500,4
56,44,1,1,22,2,1,1,1,61500,28
56,45,1,1,18,1,1,1,1,46000,20
56,52,1,1,19,1,1,1,1,23500,19
56,48,1,1,19,2,1,1,2,3500,16
56,16,1,5,13,1,3,1,2,2200,35
56,14,1,5,10,2,NA,1,2,NA,30
56,72,1,2,17,1,3,1,1,12400,12
56,42,1,3,19,1,6,1,1,6600,27
56,14,1,5,11,2,NA,1,1,NA,15
56,35,1,1,19,1,1,3,1,14000,19
56,29,1,1,19,2,1,3,1,16000,12
56,9,1,5,6,2,NA,3,1,NA,21
56,6,1,5,4,1,NA,3,1,NA,17
56,3,1,5,2,1,NA,3,1,NA,21
56,1,1,5,NA,2,NA,3,1,NA,20
56,55,1,3,21,1,1,1,1,58000,20
56,60,1,1,17,1,1,1,1,48000,18
56,59,1,1,19,2,6,1,1,0,13
56,62,1,1,20,1,1,1,1,40000,18
56,60,1,1,20,2,1,8,2,61000,15
56,43,1,1,18,1,1,1,1,80000,3
56,43,1,1,19,2,1,1,1,18000,3
56,29,1,1,20,2,6,1,1,0,3
56,29,1,1,20,1,1,1,1,65000,4
56,6,1,5,3,1,NA,1,1,NA,6
56,4,1,5,1,1,NA,1,1,NA,4
56,1,1,5,NA,2,NA,1,1,NA,5
56,82,1,1,15,1,6,1,1,29700,19
56,66,1,1,22,2,6,1,1,11200,15
56,60,1,1,19,1,1,1,1,8000,16
56,60,1,1,22,2,1,1,1,37000,20
56,25,1,5,20,2,6,1,1,0,13
56,47,1,3,16,2,1,1,1,26500,30
56,20,1,5,11,1,1,1,2,22000,24
56,29,1,1,18,1,1,1,1,42000,24
56,31,1,1,18,2,6,1,1,0,13
56,10,1,5,7,2,NA,1,1,NA,21
56,9,1,5,5,2,NA,1,1,NA,21
56,5,1,5,2,1,NA,1,1,NA,17
56,2,1,5,NA,1,NA,1,1,NA,18
56,39,1,3,21,2,1,1,1,35000,49
56,34,1,1,17,1,2,1,1,60000,24
56,33,1,1,22,2,1,1,1,55000,17
56,68,1,1,19,1,1,1,1,37450,13
56,60,1,1,18,2,1,1,1,37800,13
56,26,3,5,20,2,1,9,1,16830,37
