"","state","max_weight","sum_weights"
"1","al","362","4777326"
"2","ak","311","711139"
"3","az","469","6410979"
"4","ar","245","2916372"
"5","ca","335","37325068"
"6","co","284","5042854"
"7","ct","198","3572213"
"8","de","289","900131"
"9","fl","479","18885152"
"10","ga","549","9714569"
"11","hi","207","1362730"
"12","id","291","1567803"
"13","il","306","12823860"
"14","in","450","6485530"
"15","ia","468","3047646"
"16","ks","336","2851183"
"17","ky","286","4340170"
"18","la","259","4529605"
"19","me","242","1329084"
"20","md","242","5785496"
"21","ma","205","6560595"
"22","mi","301","9897264"
"23","mn","351","5313081"
"24","ms","373","2967620"
"25","mo","486","5982413"
"26","mt","265","990785"
"27","ne","250","1827306"
"28","nv","369","2704204"
"29","nh","232","1317474"
"30","nj","262","8793888"
"31","nm","281","2055287"
"32","ny","340","19398125"
"33","nc","357","9544249"
"34","nd","341","676253"
"35","oh","322","11533561"
"36","ok","248","3749005"
"37","or","252","3836628"
"38","pa","282","12699589"
"39","ri","175","1052471"
"40","sc","296","4630352"
"41","sd","379","815871"
"42","tn","336","6353226"
"43","tx","426","25208897"
"44","ut","287","2766233"
"45","vt","277","625498"
"46","va","316","8014955"
"47","wa","297","6738714"
"48","wv","220","1850481"
"49","wi","361","5687219"
"50","wy","315","562803"
"51","dc","190","605759"
